23;;mtiC_cAdb, hY-siQdb, cAndb ;kriguMb TbC amgidmC cAnb aoIdb ; TOpubn mtiC cAdb miaoIsiQbu luFtgi lOToClMmi;adjective
24;;kY_amoM ;mmA aoIb qMb kY ; mguN lYrb guru rAMdAski mbuC nAb Pnb gurugi mnAI sibAjin kY amoMgi szgoM purClMmi;noun
25;;siNdMbdz_qAIrib, tMKxlCpdz_qAIrib ;kriguMb TbC ambu hYbdz qAIrib, KuxloIdr_ib ; msigi TbC asi tMKxlCpdz qAIrib min PAUb tOb qMgni;adjective
26;;jugox_cAdb, nAtY_cAdb ;TbC niQTin tOb hYtb ; nz jugox cAdb miguMn TbC tOrib krigino? ;adjective
27;;apzb, lOsiQ_wAxp, lOsiQ_TeNb, gy_AN_wAxp, gy_AN_yAUdb ;siQdb ; apzb misiQg mrY yexnroIdbni;adjective
28;;cxndr_b, mtMg_cundr_b, sijiNndr_b ;hOjiC mtMgi aoIdr_b ; nhAC mtM lYb KibiCt cxndr_b PijoLtmC sex-cArib krigino?;adjective
29;;hYToI-siQToIb_, hYTo_IsiQToIb, hY_-siQb, hY_siQb, hY_-siQb, hYb ;kriguMb TbC am tOb mtMd yAMn Pjn mAI pACn tOb aoIb ; arjuN liruQ-teN kAFpgi mhY-msiQd hYToI-siQToIb misC am aoIrMmi;adjective
30;;aqMb, tOb_qMb, mtiC_cAb ;kriguMb am tOb qMbgi pAQgL nxtr_g mtiC lYb ; TbCsigidmC aqMb mi am mru aoI;adjective
31;;cAUKxp ;awAQb TACki wAKL KNb amsuQ acMb migi sAjx cxp ; toMb cAUKxp mini;adjective
32;;aPb, puCceL_cAUb, puCceN_cAUb ;Pxtb aoIdb nxtr_g licx-sAjx Pjb nxtr_g mhACn tOTorCp KudiQ atoFpsiQgi kANngdb aoIb ; mAleM asid aPb migi awAxp lYte;adjective
33;;sAhiQ_cAb, mi_cAb ;mibu mciNjAC aoIn cAb ; sAdANbn sAhiQ cAb kY amoM adubu mhACki pANdMPM seMlMmi;adjective
34;;mru_aoIb_misC_mApL ;mmAQqYgi mtMd niQTO-niTOreLgi sBAd lYrMb miToI-miheNb miaoI mApL ; kAlidAs asi bikr_mAdixgi mru aoIb misC mApLgi mnuQd am aoIrMmi;noun
35;;mmA-mpA_lYjdr_b, mmA_mpA_lYjdr_b, knA_lYjdr_b, pitx-pAtxlb, pitx_pAtxlb, pu-pAQ_sudr_b, pu_pAQ_sudr_b, lMjA_aoIrb ;mhACkidmCt yeQsiNbinb nxtr_g yoCpi-TACpinb lYtr_b ; sy_AMn mmA mpA lYjdr_b aqAQsiQbu yoCpi TACpibd mpuNsi leLlMmi;adjective
36;;UpAI_lYtr_b, gti_lYtr_b, pAMbY_lYtr_b, qAClO_lYtr_b, toLl-tArb, toLl_tArb, teQbAQ_Pzdr_b ;mhACkidmCt knA amt lYtr_b ; sureNdr_ IbuQqon UpAI lYtr_b misiQgi mteQ pAQdunt lY;adjective
37;;mpA_lYtb ;knAguMb amgi apoCp mpA siKib nxtr_g lYmiNndb aoIb ; mpA lYtb aqAQdi kri-kriguMb mtMd kqAUnY;adjective
38;;pAMbY_lYjdb, UpAI_lYjdb, gti_lYjdb, qAClO_lYjdb ;kriguMb TbC am tOnbgi mteQ lYtb ; srkArn pAMbY lYjdb misiQgidmCt pAMbY pinnb hoxnri;adjective
40;;lMhuI_amoM ;mmA aoIb qMb lMhuI ; Umzd lMhuI amoM amn mcAbu szgoM piTCtun lYrMmi;noun
41;;mteQ_pAQbiniQqAI_lYb, mteQ_pAQbiniqAI_lYb ;kriguMb am pAQToCpd mteQ pinb mi ; mteQ pAQbiniQqAI lYb misiQn atoFpgi mteQ pAQgdbni;adjective
42;;mmA_lYtb, mmA_kAInKr_b ;mmA siKr_b aoIb ; seNjAU pAIb IbuQqodu aqAQ aoIriqYdgi hOn mmA lYtb misC hAIbdu aoIre;adjective
43;;pAMbY_mrAQ_kAIn_lYb ;kriguMb am pAQToCpd mteQ yAMn lYb aoIb ; pAMbY mrAQ kAIn lYb midi KuNnAIgi mteQ aoI;adjective
44;;IkAIb-pib, IkAIb-nzhNb, coFhNb, coFPNb ;wAhY nxtr_g TbCtun knAguMbgi nApL nxtr_g miQcx hNThNb ; aYKoIn knAguMb amtbu IkAIb pib tOroIdbni;noun
45;;lMcx_nAIdb, lMcx_kAMb, lMcx_yAUdb ;KuNnAIn amdi miyAMn yAdb sAjx cxpgi maoQ ; lMcx nAIdbn mibu sA aoLhLli;noun
46;;IkAI-KuMnb, wAQn-TAQgxp, Ijx_tOb, by_bhAr_tOb ;ciNn nxtr_g TbCn knAguMb ambu peLhNb nxtr_g knAguMb amgi PibMbu KuNnAIgi awAQb TACt TAQgxp ; ImA IpAbu IkAI KuMngdbni;noun
47;;lAI, sidb_mpu, tAIbz_mpu, lAIniQTO, KoyuM, teQbANb_mpu, noQdMb, ciQqu, KoImoM, Isor, Isw_r, BgbAN ;KudiQmCtgi heNb mPM puMnmCt lYb tAIbzpANbu seMbib mpu ; lAIn aYKoI puMnmCpu qACpi seNbi;noun
50;;kOb ;mmiQg mri lYnb ; mmAQqYgi mtMd rGu kOb niQTO amn lYbAC qAClMmi;adjective
51;;KzhOdn, ITA-TAjdn ;aoIrCkni ToClCkni hAIb KLludn ; aYKoIn yuMdgi heC TorCpg KzhOdn noQ cuTrClMmi;adverb
52;;hoxndn ;kriguMb am tOdb ; hoxndn kriguMb TbC amt tOb aoIToCte;adverb
53;;liQjeL_PudoCtun, kNn_hoxndun ;aroIb pAQgL UxToCp ; kriguMb TbC am tObd liQjeL PudoCtun tO;adverb
54;;mAIKuM_hAQdoCp ;kriguMb poxnciQbd KuMjiNb Pibu lOToCp ; hoM ministrn gANDigi mitMgi mAIKuM hAQdoCpgi TOrM pAQToCkni;noun
57;;hOdoCpgi_TOrM ;kriguMb acOb TOrM, miPMnciQbgi kANnb amsuQ mtiC heNgxnbgidmC knAguMb acOb misCn TOrM adugi  IhAN-hANb aoIn tOb TOaoQ ; tAIbz mhYkoL asigi hOdoCpgi TOrM asi rAstr_pti IbuQqon tOgni;noun
59;;liKuN_Kzb, lzlA-lzjiL, lzlA_lzjiL, lzlA-lzjiN, lzlA_lzjiN, aroN-aTuF_KzdoCp ;min Kzndb TbC nxtr_g wAPM ambu KzhNbgi TbC ; netAji suBAs cNdr_ bosn IKz-KzhOdn mAQKibgi liKuN qsi PAUb Kzb qMdr_i;noun
60;;maoQ_mriL_tAdr_b, PibM_cAdr_b, acAIb, nAtY_cAdr_b ;mPM cAn lYtb ; sy_AMn maoQ mriL tAdr_b kA adubu maoQ tAn seMjiLli;adjective
61;;kusi-rAsi_tOb, kusi_rAsi_tOb, mniQ-mKA_tOb, mniQ_mKA_tOb ;kriguMb am tObd aTiQb TMdb ; hitlr kusi-rAsi tOb lYqACp amni;adjective
62;;aP-Pxt_Kzdn_mtO_tMb ;cuMmi lALli Kzdn knAguMb miaOI nxtr_g kriguMb amgi tuQ INbgi TOaoQ ; hOgxlClib nhAroLsiQ asi noQcuFloMgi sAjxpu aP-Pxt Kzdn mtO tMbgi hYnbi lY;noun
63;;mox_tiNnb, mox_mANnb, wAKL_mANnb, puCceL_tiNnb, puCceL_mANnb ;knAguMb amg wAKLloN amt aoIbgi PibM ; mox tiNnb aoIrbdi TbC tOmiNnb lAI;noun
64;;TOjAL_hYb, minuQsi_cAUb ;migi awAbd mteQ pAQniQbgi wAKL ; TOjAL hYb hAIbsi puCceL cAUb nupAsiQgi lYteQni;noun
65;;mpA_cAnb, nAtY_cAb ;kriguMb TbC am tOb mtMd TAjdn mAI pAClCp ; mpA cAnrubdgi mhACki puNsidu mhY yANb aoIre;noun
66;;cuQsiNnb, puNsiNnb, amxt_aoIb, yAnb ;cAnb amsuQ acuMb maoQd amt aoIhNb ; amg-amg cuQsiNnbn mrM aoIdun lubdgi lurb TbCsiQ pAQToCp qMmi;noun
67;;hOdoCpgi_TOrM ;kriguMb TbC-TOrMnciQb tObgi ahANb KoQTAQ ; leQsiNbirCU msigi anOb TbC asigi hOdoCpgi TOrM tOrsi;noun
68;;Pi_ToQdb ;Pi sextbgi maoQ-mtO ; hojiCkALgi mmi kuMmYsiQ asi Pi ToQdbn TLli;noun
71;;myeC_seQb ;kriguMb wAPM amgi mrMd hObdgin loIb PAUb Kzb ; cyexnb wAPMgi mrM myeC seQlb mtuQd aYKoIn mdugi wAroIsiN purCp qMgni;noun
72;;aroNb, aTuFp, aroN-aTuF ;atoFpd KzhNdb ; msigi aroNb asi loxtun aduM TMmu;noun
73;;guN ;kriguMb pox amd msAgi aoIb toF-toFp mtiC lYb ; sC Pjb hAIbsid Pjbgi guN yAUI;noun
74;;aoNn-tYnb, aoNn_tYnb, niyM__cuMdb ;acuMb maoQ aoIdb ; aoNn-tYnb hAIbsi kriguMb TbC am tOb mtMd arub aoIhLli;noun
75;;aPb, aPb-wAKL, aPb-wAKN ;atoFpgi Pxtnb KNdb wAKL ; aPb hAIbsi miaoIbgi lYteQni;noun
76;;I_dAN_tOb ;I pibgi TbC ; I dAN tOb hAIbsi puCceL cAUbgi TOaoQni;noun
77;;apNb, KurO_TAQb, KurO_ceNb ;kriguMb TbC am tOb mtMd lACp KudoQcAdb ; TbC tOriqY mtMd apNbsiQ yAUhNdr_bdi TbC KumAQ yAMn cAUsiNgni;noun
78;;TuQnb, tiNnb, puNsiNb ;amg amg amt aoIbgi maoQ ; PMbAC kuMmY au hiro amsuQ hiroIN TuQnbn poloI aoIrMmi;noun
79;;leQmANndb, ToQ-mANndb, mpA_cAndb ;TAC mANnb aoIdbgi PibM ; leQmANndbn cAUKxpd apNb aoI;noun
80;;mnAU_nupA, mOpw_A ;poCmiNnb mKA TAb nupA ; BAskr cAUbgi mnAUnupAni;noun
81;;myAMb, mnAUnupA, mbuQ, mOpw_A ;poCmiNnb mciN mnAU, mciN mnAU ToCp nupA ; sy_AM mhACki KurAn poCp mnAU/ myAMbni;noun
82;;myAMb, mbuQ ;poCmiNnb ITCToQb nupA ; sy_AMgi myAMbdi aojAni;noun
83;;mAITirb, mAI_pACtb, qMdb, PeL_aoIb, pAs_tOdb ;cAQyeQd mpuQ PAn nxtr_g cuMn tOb qMdb ; rohN cAQyeQd mAITihOrb misC aoIre;adjective
84;;mAIpAClb, qMlb, pAs_tOrb, pjeQ_PirAL_Texlb, mAITidr_b ;cAQyeQ amd mpuQ PAn nxtr_g cuMn tOb qMb ; cAQyeQd mAI pAClb misiQbu IkAI KuMnb Uxkni;adjective
85;;kArCtb, lACtb ;mixmAQd Ub Pzdb ; qsi sy_AM skuL kArCtb aqAQni;adjective
86;;yAUb, kAb, lACp, yAUb ;nCn PMb, nCn Ub qMb ; qsi kl_As yAUb mhYroI msiQ yAMde;adjective
88;;cxlib_, hOjiC_aoIrib, hOjiCki_aoIb ;hOKr_b nxtr_g lACkdOrib mtM nxtb ; cxlib mtMbu Pjn sijiNnO, mrMdi hOKr_b mtM amuC hLlCte;adjective
89;;resiao ;pox ani ahuMgi mrCt lYnb mrigi cAQdA ; lAIriC asigidmC cAd anigi resiaod lAIriC PoQbn aIbd seNdoQ KAIbi;noun
91;;yAnb_wAPM, yAnce_Ib, cuCti ;kriguMb TbC am tOnbgidmCt kAQbu anigi mrCt leFnb wA ; mAIkY anigi mrCt amg-amggi TbCt Kux TiQjiNnroIsi hAIn yAnKib wAPM adu qACn cxnrMmi;noun
92;;yAsiNnb, yAnb ;lOToC-lOsiN, piToC-pisiN, Kxn-cYnbnciQbgi mrMd mAIkY KudiQmCt amg-amg tAIsiNnb ; kAsmirgi mtAQd BArx pAkistAN yAsiNnbgi tqAIPdb lY;noun
93;;TikA ;seLnciQb pidun knAguMb ambu kriguMb TbC am mpuQ PAn pAQToChNnbgidmC mqM lOb ; mhAC soroC seMnbgi TikA Pzle;noun
94;;mNtiCnb, tAToC-tAsiN, tAToC_tAsiN, yeQToC-yeQsiN ;yoNToC-yoNsiN, lYToC-lYsiN tOb mtMd mmL qAQnb maoQ ; mNtiCnb tOdn kriguMb pox amt lYb hOnde;noun
95;;dAI, dAI_tOb, mAIroQ ;kriguMb TbC, hirM nxtr_g wAPMgi aP-Pxtgi mrMd TOdAQ lOb ; TbC asibu tOnbgi dAI knAn lOgni;noun
96;;lLloN-ItiC, lLloN_ItiC, kArbAr ;pox sAb nxtr_g lYb amsuQ yoNbgi TbC ; rAMgi akNb hoxnjmNn mhACki lLloN-ItiC yAMn cAUKxle;noun
97;;KuxloIbgi_hYsiQb, aeks_piriyens_ ;kriguMb ambu IsAmCn TeQnrub, Urub nxtr_g tOrub TbCtgi PzlCp lOsiQ ; mhAC TbC asid KuxloIbgi hYsiQb lYre;noun
98;;niQsiQb, kAUdb ;kriguMb TOdoC-wAToCpu wAKLd leQdn lYb ; aqAQ aoIriqYgi mtM niQsiQlCpd puCniQ mTuM-mrAQ hOI;noun
99;;lOsiQ, gy_AN ;poxsiQ nxtr_g kriguMb hirM amgi mrMd aP-Pxt KNTbgi pAQgL lYb ; mqoNd sns_kr_ixki lOsiQ Pjn lY;noun
100;;KuxloIbgi_hYsiQlb, aek_spiriyens__lYrb ;TeQnrCpdgi Kzlb nxtr_g mqoNd kriguMb TbC poxnciQbgi lOsiQ lYrb ; msigi TbC asigidmCt KuxloIbgi hYsiQlb mi tqAIPdb lY;adjective
101;;hCTeQnrb ;kriguMb TbC-TOrM ambu msAn Kzlb, TeQnrb aoIb ; hOjiCki mtMd tr_eNd rijArbesN Pzb hAIbsi kyAmuC yAMn wAI hAIbsi hCTeQnrb mitn Kzb qMgni;adjective
103;;puCniQd_PAUrCp, Kzb, gy_AN ;aduguMb miaoIbgi nuQd PAUb awA-nuQqAIgi PibM ; kri-kriguMb mtMd tuQd ToCkdb TOdoCsiQgi mrMd puCniQd PAUrCp yAUI;noun
104;;puCniQ-wAKL, puCniQ-wAKN, wAKL, wAKN, puCniQ, puCniQ-ITiL, puCniQ_ITiL, IhuNpuCniQ-ITiN, puCniQ_ITiN, puCniQ-IhuL, puCniQ_IhuL, puCniQ-IhuN, puCniQ_IhuN ;knAguMbgi nuQd hOrCp aniQb ; puCniQ-wAKLbu KuduM cNb hAIbsi arub amni/puCniQd wAKL maoL-maoL PAUrCI;noun
105;;yATz, myATz ;kriguMb TbC am tOdr_iqYgi mmAQd TbC adugi mrMd ITCToQbsiQg Unb, wAtANnb amsuQ mhACki ayAb lOb ; ITCToQbsiQgi yATz yAUdn kriguMb TbC amxt tOroIdbni;noun
106;;ayAb ;kriguMb TbC am tOnbgidmC yATz Pzlb ; BArx srkArn msigi pr_ojeC asibu pAQToCnbgi ayAb pire;noun
107;;wAKLn_sAb, wAKNn_sAb, puCniQn_sAb ;puCniQd asuMn aoIb yAI nxtr_g aoIgni hAIn KNbgi TbC ; kri-kriguMb mtMd wAKNn sAb asisu lANb yAUI;noun
108;;wAKL, wAKN, wAKLn_sAgxp, wAKNn_sAgxp ;aduguMb pAQgL nxtr_g wAKL mdun puCniQd anOb, aqCp Udr_ib, tAdr_ibnciQb wAPMsiQgi msCpu sAgxli ; lAIsAb migi wAKLn nuQbu hCtun lAIgi maoQ-mtO seMgxli;noun
109;;sOgxp, TOgxp, teQbAQb, ToQgxp ;knAguMbn tOb TbC nxtr_g wAPMbu cuMmi KNdun yAniQb Uxp ; hOdorClib wAPM asi aYKoIn sOgxp pAMmi;noun
110;;hrAUb, hrAUb_PoQdoCp, wAh-wAh_hAIb ;knAguMbgi wA nxtr_g wAPMsiQd apeNb poCpd PoQdoCpgi TOaoQ ; aYgi wAPMd mhACn hrAUb adu tOsiNnbni;noun
111;;aTiQb, apNb, mAIyoCt_lYb ;kriguMb TbC am tOb mtMd mdubu leFnbgidmCt amsuQ akAIb pinbgidmCt mdugi aoNn-tYnbd TbC tOb ; rAMn aTiQb pirbsu aYhAC Box leFlMmi;noun
112;;IsiQ_amsuQ_kzPAL_animCt_lYb_qMb ;mAleMgi lYmAIgi sruC anid lYb qMb ; hqoI IsiQ amsuQ kzPAL animCt lYb qMb jibni;adjective
113;;puCniQ_luFnrib ;knAguMb nxtr_g kriguMb amd wAKL suMhxniQqAI aoIb ; miyAMn puCniQ luFnrib tAIbzpALgi poxlMsiQn aYKoIbu mtM Krtgi aoIn nuQqAIhLli;adjective
114;;acexp_TAjb_TMb ;knAguMb amgi mPMd puCniQ ani loQdn niQjb ; tulsidAs asi BgbAN rAMgi mPMd acexp TAjb TMb misC amni;adjective
115;;sub_noMb_kNb, sub_kNb, noMb_kNb, hoxnb_kNb ;mtM lYb KibiCt TbC tOdunt lYb ; aYgi ImA sub noMb kNbi nupini;adjective
117;;acexp_TAjb, niQjb ;lAIreMb-lAIreMbinciQbgi mPMd TMb ToIdoC heNdoCp nuQsib amdi noLluCpgi maoQ ; tAIbz mpugi mPMd acexp TAjb TMgdbni;noun
118;;yAMn, amKC_nxtn, amdz_nxtb ;amdgi heNb ; BArxt loL msiQ yAMn qAQnY;adjective
119;;mmAIgi_mqAL, mmAIgi_mqAN ;tAIbzmpu nxtr_g mtiC mqAL lYb misiQgi mmAIgi nAkNd sNdoCp mqAL msi ayeCp lAI nxtr_g mitMnciQbd Ub Pzqi ; acMb miaoIsiQgi mmAIgi mqAL mMbn mrM aoIdun Ub Pzde;noun
120;;nuQsib ;puCniQgi aduguMb PibM msid yAMn PY hAIn KNdun mtM cuFpgi aoIn mnACt lYniQb poChLli ; nuQsibd msAgi aoIjb Tibgi mPM lYte;noun
121;;nuQsib ;mKA TAb amdi leQmANnbsiQgi mPMd TmoId PAUrCp minuQsi ; cAcA nehrun aqAQsiQbu yAMn nuQsi;noun
122;;sCmANnb, cF_mANnb, msC_mANnb ;maoQ mtO, msC KeNndb ; mhACn sCmANnb lAI ahuMgi MitM lYrMmi;adjective
123;;mtuQ_INn, yAkA_tuQINn ;knAguMb amgi wAKLloN adubu yAb ; mhAC aYhACki mtuQ INn TbC tOb pAMde;adverb
125;;hAIjb, nijb ;kriguMb am tOnbgidmC knAguMb amd noLluCp maoQd hAIbgi maoQ ; knAguMbgi hAIjbbu TaoIdb hAIbsi aPb wAPM nxte;noun
127;;hAIjb, nijb ;knAguMb amd kriguMb am tObinbgidmC Izn tFn wA hzgxp ; _AcMpr_Asin sutigidmC mkoCToQbd hAIjb tArMmi;noun
128;;wAkx, pitisN ;aduguMb ciTi mdud knAguMbd kriguMb Kr yAnb hAIjb ; mhACki wAkx adu wAyeLszn KxtoClCle;noun
129;;hNdoCp, aArT_hNb, anubAd_tOb ;loL amd IrMb nxtr_g ciNn hAIribsiQbu atoFp loL amd IToCp amsuQ PoQdoCpgi TbC ; rAmAyNbu ayAMb loLsiQd hNdoCle;noun
130;;hNdoClb_Kux-I ;loL amdgi loL amd IToCpgi TbC ; msi rAstr_ptigi Izlis lAIriCki hNdoClb KuxIni;noun
131;;sNdoCn_tACp, sNdoCn_hAIb ;kriguMb arub wAhY preQsiQbu mcA KAIn KzhNb ; sns_kr_ixki sYreQsiQbu sNdoCn tACp hAIbsi mi puMnmCki arAIb TbC nxte;noun
132;;pox_aoNToC-aoNsiN_tObgi_kArbAr ;pox amg atoFp pox amg mhux siNdoC-siNjiN tOnbgi kArbAr ; rAM pox aoNToC-aoNsiN tObgi kArbAr tOI;noun
133;;TbC_hOb ;kriguMb TbC am ahANb aoIn tObgi mtM ; TbC hOb mtMd ceCsiNgdbni;noun
134;;lAIniQ-lAIsoNgi_TbC-TOrM, lAIniQ-lAIsoNgi_TbC_TOrM, lAIniQ_lAIsoNgi_TbC-TOrM, lAIniQ_lAIsoNgi_TbC_TOrM ;tAIbz mpunciQbg mrilYnn aKNnb maoQgi TAjbgi amdi niQjbgi toF-toFp cxn pTAFk mri lYnb aduguMb TbC ; lAIpoCsiQdi lAIniQ-lAIsoNgi TbC-TOrMd puCniQ luFpi;noun
136;;mY_pujA_tOb ;lAIbu peNnbgidmC mY hOdun Gi, ceQ, ToIdiQnciQb kxpgi TbC ; hnumANgi lAIszd mY pujA tOb hOre;noun
138;;TijiNb, TijiN-huMjiNb, TijiN_huMjiNb ;kriguMb lM amd mmux tAn Kznb hoxnbd mdug mri lYnb wAPMsiQ puToCpgi TOaoQ ; robox hAIbsi bigy_ANn TijiNbgi KudoLni;noun
139;;Tib ;kriguMb pox ambu Pznb nxtr_g UnbgidmC  koIyeQ yeQbgi TbC ; kolMbsn amerikAbu Tibd mAI pAClMmi;noun
140;;mitO_tMb ;knAguMbgi KuxIg mANnn Ib ; msi mitO tMb KuxIni;adjective
141;;_KNTb, wAKL_tOb, wAKL_TAdb, wAKN_tOb, wAKN_TAdb, tiN_yoxTb ;kriguMb hirM amd puCniQ luFsiNb ; TbC asid yAMn muNn KNTb czqi;noun
142;;tuCkxcb, hzgoIb, nuQsidb ;aduguMb puCniQgi wAKL msid knAguMb ambu yAMn Pxtbni KNdun mqoNdgi TAFn lYniQbgi puCniQd ITiL pi ; knAbusu tuCkxcb tOroIdbni mrMdi aYKoI puMnmC Isw_r amtgi mcAni;noun
143;;kLlC-mihO_PAUdb_wAKL, kLlC_mihO_PAUdb_wAKL, kLlC-mihO_PAUdb_wAKN, kLlC_mihO_PAUdb_wAKN, kLlC-mihO_lYtb_wAKL, kLlC_mihO_lYtb_wAKL, kLlC-mihO_lYtb_wAKN, kLlC-mihO_lYtb_wAKN ;tAIbzpALgi awA-nuQqAId puCniQ peLlCpdgi mdudgi lAFn lYbgi PibM ; tAIbzpALgi kLlC-mihO PAUdb wAKLn tAIbz mpubu niQjO ;noun
145;;hNdoClb, hNdoClb_aoIb ;loL amdgi loL amd IToCp aoIb ; msi mhAsw_etA debigi hNdoClb KuxIni;adjective
146;;msAgi_aoIb_Kux-I ;atoFp knAguMbdgi siNdoCp, lOb nxtv=b msAgi wAKLn puToCtun Ib aIb pox ; godAN pr_eMcNdgi msAgi aoIb KuxIni;noun
147;;pAU, I__-pAU, I__pAU, pAUjeL, pAUjeN ;kriguMb wAPM ambu hAIdun, Izgix tOdun nxtr_g Idun tACp kriguMb mru aoIb wAPM ; myAMbgi luhoQbgi pAU Pzbd mhAC hrAUbgi qMKY lYrMde;noun
148;;KoriloLgi_Kux-I, sAhity_gi_Kux-I ;wAreQ-sYreQg mri lYnb TbC ; tuLsidAski rAM crix mAns mAleMd mmiQ cxlb KoriloLgi KuxIni;noun
149;;seQdoCwA, seQdoCwAroL, seQdoCwAroN ;cnYnb wAPM ambu yAMn myeC seQn KznbgidmC mcA KAIn hAIbgi TbC ; aopojisNn lYqACpsiQd mKoIgi seN-TuMgi acuM-arANgi mrMd seQdoCwA pinb hAIrMmi;noun
150;;TObAQ, BArb_ ;loL nYnroLgi aduguMb wAhY mdun kriguMb TbC am tOb, aoIbgi mrMd tACp ; pArA asid TObAQd mixyeQ TMlMmi;noun
151;;ahOb, ahANb ;kriguMb TbC, TOdoC-wAToCnciQbgi IhAN hANb tAQkC nxtr_g sruC ; ahObd mpA cArbdi aroIbdsu aPb aoI;noun
152;;liQjeL_mANndb, liQjeN_mANndb, wAKL_mANndb, wAKN_mANndb, puCceL-KoIjeL_tiNndb, puCceL_KoIjeL_tiNndb, puCceN-KoIjeN_tiNndb, puCceN_KoIjeN_tiNndb, puCceL-KoIjeN_tiNndb, puCceL_KoIjeN_tiNndb, puCceN-KoIjeL_tiNndb, puCceN_KoIjeL_tiNndb, nuQsindb ;amt aoIbgi wAKLloN lYtb ; liQjeN mANndb KuNnAIdi cAUKxp qMde;adjective
153;;cAb_yAdb_pox ;hu ceNb nxtr_g hCcAQ soCniQqAI aoIb cAn-TCnb poxlMsiQ ; mhACn cAb yAdb poxsiQbu Pxt-hOdi hAFPMd hAFciLle;noun
154;;hYbo_Q_pAMbi, hYboQ ;hYrixkuMb acOb U pAMbi am msigi mhYdu TuMmi amsuQ cAb yAI ; aYKoIgi IzKoNd hYboQ pAMbi am hOI;noun
