14;क्रमक्केट्, कुंभकोणं, तिरिमऱि, अऴिमति;अऱिञ्ञ् अल्लॆङ्किल् तोन्न्यासमाय रीतियिल् संजातमाकुन्न अल्लॆङ्किल् असमर्थातकॊण्टुळ्ळ कुऴप्पङ्ङळ्. इन्न् ऎल्ला वकुप्पिलुं ऎन्तॆङ्किलुं क्रमकेटुकळ् नटन्नुवरुन्नु. 
15;विऱ्ऱामिन्, जीवकं;साधारणयायि भक्षण पदार्थङ्ङळिल् कण्टु वरुन्न ऒरु तरत्तिलुळ्ळ पोषक घटकं. जीवकङ्ङळ् आऱु विधमुण्ट्. 
16;सत्स्वभावं;नल्ल स्वभावं उळ्ळ अवस्थ अल्लॆङ्किल् भावं. सत्स्वभावं मनुष्यनॆ महानाक्कुन्नु. 
17;तोन्न्यासं, तान्तोन्नित्तं;मऱ्ऱॊराळुटॆ आग्रहमिल्लातॆ स्वन्तं इष्टप्रकारं एतॆङ्किलुं कार्यं चॆय्युक अल्लॆङ्किल् चॆय्यिप्पिक्कुक. निन्ऱॆ तोन्न्यासं इविटॆ नटक्किल्ल. 
18;दुष्कर्म्मं, नीचप्रवृत्ति, अनीति;नीतिक्क् विरुद्धमाय कार्यं दुष्टन् ऎल्लाय्प्पोऴुं दुष्कर्म्मङ्ङळिल् मुऴुकियिरिक्कुन्नु 
19;अरि, भक्ष्यधान्यं;चॆटिकळिल् उत्पन्नमाकुन्न धान्यं अत् भक्ष्ययोग्यमाण् . श्यां अरिक्कच्चवटक्कारनाण् . 
20;भक्ष्यवस्तु, भक्षणसाधनङ्ङळ्, आहारसाधनङ्ङळ्;तिन्नानुं कुटिक्कानुं उपयोगिक्कुन्न वस्तु अतिलूटॆ शरीरत्तिन् ऊर्ज्जं लभिक्कुन्नु कूटातॆ शरीरत्तिन्ऱॆ विकासवुं नटक्कुन्नु. ग्रामङ्ङळॆ अपेक्षिच्च् नगरङ्ङळिल् भक्ष्य वस्तुक्कळ्क्क् विल वळरॆ कूटुतलाण् . 
21;प्रायोगिकपरिज्ञानं, अनुभवज्ञानं;आरिलाणो परिचयकुऱव् उळ्ळत्. प्रायोगिक परिज्ञानं कुऱव् उळ्ळतिनाल् रामुविन् जोलि किट्टियिल्ल/ अवन् ई कळियिल् प्रायोगिक परिज्ञानं कुऱवाण् . 
22;असमर्थराय;समर्थन् अल्लात्त आळ्. असमर्थनराय कळिक्कारुं नल्लवण्णं कळिच्चु. 
23;अयोग्यनाय;योग्यनल्लात्त आळ्. मानेजर् अयोग्यनाय आळॆ स्थापनत्तिल् निन्न् पुऱत्ताक्कि. 
24;पुलि, व्याघ्ऱं ऎन्निवयुटॆ स्त्री लिंगं, पॆण्पुलि;अम्मप्पुलि स्वामि अय्यप्पन्, तन्ऱॆ पोऱ्ऱम्मयुटॆ वयऱु वेदन माऱ्ऱान् पुलिप्पालु् कॊण्टुवन्नु. 
25;इप्पोळ्पठिच्चिऱङ्ङिय;एतॆङ्किलुं जोलि पुतियतायि पठिच्च आळ्. ई जोलि इप्पोळ् पठिच्चिऱङ्ङिय आळ्क्कु पोलुं चॆय्यान् कऴियुं. 
26;विवेकशून्यनाय, अविवेकियाय;शरियाय रीतियिल् जोलि चॆय्युवान् कऴियात्तयाळ् निङ्ङळ् ऎन्तु कॊण्टाण् विवेकशून्यनाय जोलिकळ् चॆय्युन्नत् 
27;अविवेकियाय, जळनाय, भोषनाय, पॊण्णतरमुळ्ळ, मूढनाय, मन्दतयुळ्ळ, जळत्वमुळ्ळ, वङ्कत्तमुळ्ळ, पम्पर विड्ढि.;बुद्धि कुऱञ्ञवन् अल्लॆङ्किल् बुद्धि इल्लात्तवन्. अविवेकिकळाय जनङ्ङळोटु कूटि कूट्टु कूटरुतु्. 
28;प्रचारत्तिलिल्लात्त;प्रचारं इल्लात्त. नी ऎप्पोऴुं प्रचारत्तिलिल्लात्त वस्त्रं ऎन्तुकॊण्ट् धरिक्कुन्नु. 
29;प्रवीणनाय, मिटुक्कनाय, समर्त्थनाय;एतॆङ्किलुं जोलि चॆय्युन्नतिल् विशेषप्पॆट्ट योग्यतकळ् उळ्ळ आळ्. धनुर्विद्ययिल् प्रवीणनाय व्यक्तियाण् अर्जुनൻ . 
30;कार्यसेषियुळ्ळ, निपुणमाय, समर्त्थनाय, शक्तमाय, सामर्त्थ्य मुळ्ळ, विदग्द्धमाय, चुणयुळ्ळ, प्रागत्भ्यमुळ्ळ, चॆय्तुतऴक्कमुळ्ळ, चातुर्यमुळ्ळ, विरुतुळ्ळ, नैपुण्यमुळ्ळ, अनुगृहीतनाय, कैपऴक्कमुळ्ळ, चुऱुचुऱुक्कुळ्ळ, ज्ञानमुळ्ळ, कॆल्प्पु ळ्ळ, पाटवमुळ्ळ, कौशलमुळ्ळ, कऴिवुळ्ळ.;योग्यतयुळ्ळ समर्त्थनाय मनुष्यन्. प्राप्तियोटु कूटि कार्यङ्ङळ् चॆय्यान् कऴिवुळ्ळवन् 
31;उत्तमनाय, सർव्वशेष्टनाय, विशिष्टनाय, उल्कृनष्टनाय, अतुल्यनाय, अद्वितीनाय, साम्यमिल्लात्त, मिकवुळ्ळवनाय, मुन्तिय, अतिश्रेष्टनाय, परमोल्कृष्टनाय, मुख्यनाय, ऒन्नामनाय.;नागरिकत्वं, संस्क्कारं, बुद्धिपरमाय अभिवृद्धि ऎन्निवयुटॆ फलमाय मानसिक परिष्कृति. रामन् ऒरु उत्तमनाय व्यक्तियाण्. 
32;नन्मयुळ्ळ, नन्मनिऱञ्ञ;नल्ल आळ् अल्लॆङ्किल् नल्ल गुणङ्ङळ् उळ्ळ आळ् अल्लॆङ्किल् ऒराळुटॆ प्रवृत्तियाल् मऱ्ऱुळ्ळवर्क्क् नन्मकळ् उण्टाकुन्नु. भूमियिल् नन्मयुळ्ळ आळुकळ्क्क् कुऱविल्ल. 
33;नरभोजियाय;मनुष्यनॆ भक्षणमाक्कुन्न अल्लॆङ्किल् मनुष्यनॆ तन्ऱॆ आहारमाक्कुन्न. वेट्टक्कारन् नरभोजियाय कटुवयॆ तन्ऱॆ उन्नमाक्कि. 
34;नवरत्नं;प्राचीनकालत्तॆ ऒरु महाराजाविन्ऱॆ सदसिलॆ अंगमायिरुन्न ऒम्पत् विद्वान्मार् काळिदासन् विक्रमादित्यन्ऱॆ सदसिलॆ नवरत्नङ्ङळिलॊराळ् आयिरुन्नु 
35;अनाथराय;नोक्किवळर्त्तान् आरुमिल्लत्त आळ्. श्यां तन्ऱॆ मुऴुवन् जीवितवुं अनाथराय कुट्टिकळुटॆ उन्नतिक्कायि चिलवऴिच्चु. 
36;निरालंबराय;आरुं सहायत्तिनिल्लात्तयाळ्. सुरेन्द्रन् निरालंबरायवरॆ सहायिच्चु वरुन्नु. 
37;अच्छनिल्लात्त, तातनिल्लात्त, तन्तयिल्लात्त;पिताव् इल्लात्तवन्. अच्छनिल्लात्त कुट्टि चिलप्पोऴॊक्कॆ दिशयिल्लात्तवनायि पोकुन्नु. 
38;धनविभवहीनराय, दरिद्रराय;धनविभवङ्ङळ् कुऱवुळ्ळ अल्लॆङ्किल् धनविभवङ्ङळ् इल्लात्त आळ्. सर्क्कार् धनविभवहीनराय आळुकळ्क्कुवेण्टि धनविभवङ्ङळ् शेखरिक्कुन्नु. 
39;सनाथൻ;मऱ्ऱॊराळाൽ परिपालिक्कप्पॆटुन्न व्यक्ति सनाथराय कुट्टिकൾ अनाथराय कुट्टिकळॆ सहायिक्केण्टताण्/ जगतीश्वरनॆ अऱियुन्न आൾ ऒरिक्कलुं अनाथनावुकयिल्ल सनाथनायिरिक्कुं 
40;पॆण्नरि, पॆण्कुऱुक्कन्;पॆण् नरि. काट्टिल् ऒरु पॆण् नरि तन्ऱॆ कुञ्ञुङ्ङळ्क्क् पाल् कॊटुत्तुकॊण्टिरुन्नु. 
41;सहायिकळाय, सहकारिकळाय;सहायिक्कानुळ्ळ आळ्. सहायिकळाय व्यक्तिकळ् मऱ्ऱुळ्ळवरॆ सहायिक्केण्टताण्. 
42;मातृहीनन्, अम्मयिल्लात्त, माताविल्लात्त;अम्मयिल्लात्त. सेठ्जि कुट्टिक्कालत्त् तन्नॆ मातृहीननायि. 
43;धनविभवसम्पन्नराय, सम्पन्नराय, धनवान्माराय;आरुटॆ पक्कलाणो धनविभवङ्ङळ् उळ्ळत्. धनविभवसम्पन्नराय आळुकळ् समूहत्तिन्ऱॆ विकासत्तिन् सहायकरमाकुं. 
44;मानभंगं, अपमानं, निन्दिक्कुक, अवमानं, मानक्केटु्, नाणक्केटु्, बहुमानमिल्लाय्म, अपद्ध्वंसं, अवहेळनं, अनादरवु्, अमाननं, पोराय्म, आक्षेपं, कळङ्कं, नाणक्केटु्, पुच्छं, दुष्कीर्त्ति, अभिमानक्षयं, अभिभवं, अभिभूति, अधिक्षेपं.;परस्यमायि मनपूर्वं अपमानिक्कुक, अवहेळिक्कुक, धिक्करिक्कुक पुऱंतिरिञ्ञु निन्नतु ऎन्नॆ अधिक्षेपिक्कानायिरुन्नु. 
45;संस्क्कारहीनत, संस्क्कारविरुद्धमाय;संस्क्कारहीनमाय अवस्थ. संस्क्कारहीनत मनुष्यनॆ मृगमाक्कुं. 
46;आदरव्, बहुमति, अंगीकरिक्कुक, आदरिक्कुक, बहुमानं, भयभक्ति, प्रमाणं, भव्यत, भावन, वरिश, पूज्यभावं, अपचिति, अपचितं, वणक्कं, विनीति, उपचारं, अभिमति, मान्यमानित्वं, बहुमानसूचकं, विधेयत्वं.;ऒराळ्क्कु आदरवु लभिक्कुन्न अल्लॆङ्किलुण्टाक्कुन्न कार्यं पऱयुक. मूत्तवरॆ बहुमानिक्कणं. 
47;दैवं, ईश्वरन्.देवन्, देवत, देवि, दैवतं, दैवत्यं, सर्वेश्वरन्, अनिमिषन्, अम्पर्, विश्वव्यापि, ईश्वरन्, देवगणं, वानोर्, स्वर्ग्गवासि, अमरन्, निर्ज्जमरन्, अखण्टन्, अखण्टितन्, खिलरूपन्, अखिलव्यापि, अचिन्तितन्, अजनन्, आण्डवन्, अजरन्, अगिरौकस्सु्.;धर्म्मग्रन्थङ्ङळिल् प्रतिपातिक्कुन्न सर्व्वोत्तमनाय सृष्टिकर्त्तावु्. ईश्वरन् सर्वव्यापियाणु्.ऎल्लावरुटॆयुं रक्षकनुमाण्. 
48;नामरहितमाय, पेरिल्लात्त;पेरिल्लात्त रामु अनाथालयत्तिलॆ नामरहितनाय ऒरु कुट्टियॆ दत्तॆटुत्तु 
49;ईश्वरशक्ति, दैवीकशक्ति, प्रकृतिशक्ति;ऎल्ला कार्यङ्ङळुं नियन्त्रिक्कुन्न शक्ति मतग्रन्थङ्ङळिल् पऱञ्ञिरिक्कुन्नत् इप्रकारमाकुन्नु प्रकृतियिलॆ ऎल्ला कार्यवुं ईश्वरशक्तियालाण् नटक्कुन्नत् 
50;ऎन्ऱॆ;तन्ऱेताय. इतु ऎन्ऱॆ वीटाण्. 
51;अकस्मिकमाय, अचिन्तितमाय, अदृष्ट, मुन्कूट्टिक्काणात्त, पॆट्टॆन्नुळ्ळ, ओर्क्काप्पुऱत्तुळ्ळ.;पॆट्टॆन्नु्, अप्रतीक्षितमायि. ओर्क्काप्पुऱत्तु वन्न मऴ ऎल्लावरेयुं ननच्चु. 
52;अनायासं, ऎळुप्पं, आयासंकूटातॆ;आयासं अल्लॆङ्किल् प्रयासं कूटातॆ. अनायासमायि ऒरु कार्यवुं नटक्किल्ल. 
53;प्रयत्नपूर्वं;प्रयत्नत्तोटुकूटि. एतुकार्यवुं प्रयत्नपूർवं चॆय्यणं. 
54;अनाच्छादनं, अनावरणं;एतॆङ्किल्लुं वस्तु कार्यं ऎन्निवयिल् निन्न् अतिन्ऱॆ आवरणं माऱ्ऱुन्न कार्यं. आभ्यन्तरमन्त्रि गान्धिजियुटॆ प्रतिम अनाछादनं चॆय्तु. 
55;इन्दुकवृक्षं;मनोहरमाय पूक्कळ् विरियुन्न ऒरु सस्यं इन्दुकवृक्षत्तिल् निन्न् अतिन्ऱॆ कॊम्पुकळ् ताऴ्त्ति पिटिच्च् तोट्टक्कारन् पूक्कळ् इऱुक्कुन्नु 
56;इन्दुकवृक्षं;ऒरु चॆऱु मरत्तिൽ विरियुन्न सुन्दरमाय पूक्कळ् तोट्टक्कारन् इन्दुकवृक्षत्तिन्ऱॆ पूक्कळ् कॊण्टुळ्ळ माल तीर्क्कुन्नु 
57;उद्घाटनं.;एतॆङ्किलुं वलिय सम्मेळनं, उत्सवं मुतलायवयुटॆ महत्ववुं गांभीर्यवुं कूट्टुन्नतिनायि अतिन्ऱॆ आरंभं एतॆङ्किलुं वलिय आळॆ कॊण्टु निर्वहिप्पिक्कुन्न कार्यं. ई विद्यालयत्तिन्ऱॆ उद्घाटनं बहुमानप्पॆट्ट राष्ट्रपति अवर्कळ् निर्वहिक्कुं. 
58;कम्पोस्ऱ्ऱ्, पच्चिलवळं;चाणकं, इलकळ्, जैव मालिन्यङ्ङळ् ऎन्निव चेर्त्त् उण्टाक्कुन्न वळं कर्षकन् वॆऱुं निलत्त् कम्पोस्ऱ्ऱ् वळं इटुन्नु 
59;परस्यमाकल्, वॆळिप्पॆटुत्तൽ;एतॆङ्किलुं रहस्यं वॆळिप्पॆटुन्न कार्यं. नेताजि सुभाष् चन्द्रबोसिन्ऱॆ पॆट्टन्नुळ्ळ तिरोधानत्तॆ पऱ्ऱियुळ्ळ रहस्यं इन्नुवरॆ परस्यमाक्कियिट्टिल्ल. 
60;अटुक्कुंचिट्टयुंइल्लात्त, ऒरु क्रमीकरणवुमिल्लात्त;व्यवस्थयिल्लात्त ऒन्न्. श्यां अटुक्कुं चिट्टयुं इल्लात्त मुऱि अटुक्कियॊतुक्कुन्नु. 
61;स्वेच्छाधिपतियाय, नियन्त्रणमिल्लात्त, तन्निष्टक्कारनाय;आर्क्काणो ऒरु नियन्त्रणवुं इल्लात्तत्. हिऱ्ऱ्लर् ऒरु स्वेच्छाधिपतियाय भरणकर्त्ताव् आयिरुन्नु. 
62;अन्धानुकरणं;ऒरु चिन्तयुं विवेचनवुं कूटातॆ एतॆङ्किलुं ऒरु कार्यं अल्लॆङ्किल् व्यक्तियॆ अनुकरिक्कुक. इन्नत्तॆ युवजनङ्ङळ् पटिञ्ञाऱन् सभ्यतयुटॆ अन्धानुकरणं नटत्तुन्नु. 
63;अनुकूलं, योजिप्प्;अनुकूलमाकुन्न अवस्थ अल्लॆङ्किल् भावं. अनुकूलमाणॆङ्किल् जोलि चॆय्यान् ऎळुप्पमाण् . 
64;दय, कृप, कारुण्यं;दयालु आयिरिक्कुन्न अवस्थ अल्लॆङ्किल् भावं. दय सज्जनङ्ङळुटॆ आभरणमाकुन्नु. 
65;उपयुक्तत;उपयुक्तमाय अवस्थ अल्लॆङ्किल् भावं साहचर्यङ्ङळुटॆ उपयुक्ततयाल् आवन् जीवितत्तिल् विजयिच्चु 
66;योजिप्प्, सहकरणं, कूट्टाय्म;उपयोगप्रदवुं शरियायिट्टुळ्ळतुमाय संयोगं अल्लॆङ्किल् कूटिच्चेरल्. परस्पर योजिप्पिलूटॆ कठिनकरमाय कार्यङ्ङळ् पोलुं साध्यमाकुं. 
67;आरंभं, तुटक्कं;एतॆङ्किलुं ऒरु कार्यं अल्लॆङ्किल् वर्त्तमानं आरंभिक्कुन्न प्रक्रिय. वन्नालुं ई पुतिय कार्यं आरंभं कुऱिक्कु. 
68;नग्नत;नग्नमाय अवस्थ अल्लॆङ्किल् भावं इन्नत्तॆ सिनिमकळ् नग्नतयाल् निऱञ्ञताण् . 
69;व्यञ्जनं;क मुतल् ह वरॆयुळ्ळ अक्षरङ्ङळ् अम्म कुट्टियॆ व्यञ्जनाक्षरङ्ङळ् पठिप्पिक्कुन्नु 
70;चॆऱु इल;चॆऱु इल आटुकळ् वयलिल् विळकळुटॆ चॆऱु इलकळ् तिन्नुन्नु 
71;स्पष्टं, व्यक्तं;स्पष्टमाय अवस्थ अल्लॆङ्किल् भावं. प्रश्नङ्ङळुटॆ कारणङ्ङळ् स्पष्टमायाल् नमुक्क् इतिनुळ्ळ परिहारं कण्टॆत्तान् कऴियुं. 
72;रहस्यस्वभावं, गुप्तत, गोपनं, गोप्यं, निगूढत;रहस्यमायि इरिक्कुन्न अवस्थ अल्लॆङ्किल् भावं. ई रहस्यत्तिन्ऱॆ रहस्यस्वभावं निलनिर्त्तुक. 
73;भावं, अवस्थ, उण्म;उण्टायिरिक्कुक ऎन्न अवस्थ निहितमायत् सुन्दरतयिल् सौन्दर्यं ऎन्न भावं उण्टायिरिक्कुं 
74;ऎतिर्प्प्, प्रतिकूलावस्थ, चॆऱुक्कल्;प्रतिकूलमायिरिक्कुन्न अवस्थ अल्लॆङ्किल् भावं. ऎतिर्प्प् एतॊरुकार्यत्तेयुं जटिलमाक्कितीर्क्कुं . 
75;सद्गुणं, सदाचारं, नन्म, योग्यत, उत्तम गुणं, धर्म्माुचरणं, सन्मारर्ग्गं, धर्म्मवचिन्त, सदाचारनिष्ठ, नीतिपालनं, पुण्यं, श्रेयस्सु्, सन्ममनस्सु्, मनोगुणं, नन्मग, गुणमेन्म, पॊतुम, योग्यत, श्रेष्ठत, प्रकर्षं, स्वभावशुद्धि, सुशीलत्वं, वृत्ति, मर्याद, चारित्र्यं, सदाचारशीलं, निष्पक्षपातित्वं.;नल्ल गुणं. सदाचारं मनुष्यनु भूषनमाणु्. 
76;रक्तदानं;रक्तं नल्कुन्न कार्यं. श्यां आशुपत्रियिल् पोयि रक्तदानं नटत्ति. 
77;पॊरुत्तमिल्लाय्म, चेर्च्चयिल्लाय्म;संगतमल्लात्त अवस्थ अल्लॆङ्किल् भावं. जोलिक्किटयिल् संजातमाकुन्न पॊरुत्तमिल्लाय्म परिहरिच्चाल् जोलि वेगत्तिलाक्कितीर्क्कान् कऴियुं. 
78;कूटिचेरल्, ऒन्नाकल्;कूटिचेरुन्न क्रिय अल्लॆङ्किल् भावं. नाटकत्तिन्ऱॆ अवसानं नायकनुं नायिकयुं कूटिचेरुन्नु. 
79;पॊरुत्तक्केट्, चेर्च्चक्केट्;पॊरुत्तं इल्लात्त अवस्थ. पॊरुत्तक्केट् उन्नतिक्क् तटसमाण् . 
80;अनुजन्, जघन्यन्, कनिष्ठन्, यवीयान्, कनीयान्, अवरजन्;वयसिल् इळय सहोदरन्. भास्करन् ऎन्ऱॆ अनुजनाण् . 
81;सहोदरन्, भ्राताव्;ऒरे मातापिताक्कळिल् निन्नुण्टाय अल्लॆङ्किल् एतॆङ्किलुं वंशत्तिन्ऱॆ तलमुऱयिलॆ व्यक्तिक्कु वेण्टि अम्मयुटॆ अल्लॆङ्किल् अच्छन्ऱॆ अते तलमुऱयिलॆ मतं, समूहं, नियमं मुतलायवयुटॆ अटिस्थानत्तिल् सहोदरन्ऱॆ स्थानं लभिच्च वेऱॆ व्यक्ति. श्यां ऎन्ऱॆ पितृ सहोदर पुत्रनाण्. 
82;ज्येष्ठन्, मूत्तसहोदरन्, वल्येट्टन्, चेट्टन्;आद्यं जन्मं ऎटुत्त सहोदरन्. श्यामिन्ऱॆ जेष्ठन् अद्ध्यापकनाण् 
83;तोऱ्ऱुपोय, पराजयप्पॆट्ट;परीक्षयिल् विजयिक्कात्त. रोहन् परीक्षयिल् तोऱ्ऱुपोयि. 
84;विजयिच्च, जयिच्च, जेताक्कळाय;परीक्षयिल् विजयिच्च आळ्. विजयिच्च विद्यार्त्थिकळ्क्क् पुस्तकं नल्कप्पॆटुं. 
85;हाजरिल्लात्त, असन्निहितनाय, वरात्त;अटुत्त् इल्लात्त अल्लॆङ्किल् सन्निहितनल्लात्त आळ्. इन्न् श्यां क्लास्सिल् हाजरल्ल. 
86;हाजरुळ्ळ, सन्निहितराय, वन्न;समीपत्तिरिक्कुन्न, अटुत्त् अल्लॆङ्किल् अरिकिल् वन्न. इन्न् क्लास्सिल् पत्त् विद्यार्त्थिकळ् हाजरुण्टायिरुन्नु. 
87;स्पटिकजार्, कुप्पिभरणि;कुप्पियुटॆ वलिय पात्रं अतिल् अत्तर् मुतलायव इट्ट् वय्क्कुन्नु ई स्पटिकजार् पऴचाऱुकळ् निऱय्क्कुन्नताकुन्नु 
88;इप्पोऴुळ्ळ, वर्त्तमानकालत्तुळ्ळ, ईनेरत्तुळ्ळ;ई समयत्त् अल्लॆङ्किल् नटन्नुकॊण्टिरिक्कुन्न. इप्पोऴुळ्ळ समयं उपयोगिक्कू, ऎन्तुकॊण्टॆन्नाल् कऴिञ्ञ कालं तिरिच्चु वरिल्ल. 
89;अनुपातं, तोत्, मानदण्डं, निरक्क्;तूक्कं, अळव्, उपयोगं मुतलायव तुल्यत अटिस्थानप्पॆटुत्ति ऒरु वस्तुविन् मऱ्ऱॊरु वस्तुविनोट् बन्धिप्पिच्च् अल्लॆङ्किल् अपेक्षिच्च् उळ्ळत्. पुस्तकत्तिनु वेण्टि लेखकनु रण्ट् शतमानत्तिन्ऱॆ अनुपातत्तिल् अवकाशधनं लभिक्कुन्नु. 
90;मषियॆऴुतिय, सुऱुमयिट्ट;मषियॆऴुतिय कण्णुकൾ अवळुटॆ मषियॆऴुतिय मिऴिकൾ आरेयुं वशीकरिक्कुन्नताण् 
91;कराऱ्, उटम्पटि, सन्धि, व्यवस्थ, तीरुमानं;एतॆङ्किलुं जोलि चॆय्युन्नतिनु वेण्टि रण्टु वशङ्ङळिलुं उळवाकुन्न तीरुमानं अल्लॆङ्किल् ऒत्तुतीर्प्प् . ऒराळ् मऱ्ऱॊराळुटॆ प्रश्नत्तिल् इटपॆटरुतॆन्न कराऱ् रण्टु पक्षङ्ङळुटॆ इटयिलुमुण्टाक्कि. 
92;अनुरञ्जनं, पॊरुत्तप्पॆटल्, विट्टुवीऴ्चचॆय्यल्, ऒत्तुतीर्प्प्, ऐक्यप्पॆटल्;कॊटुक्कल् - वाङ्ङल्, व्यवहारं, वऴक्क्, विवादं मुतलायव संबन्धिच्च् ऎल्ला भागङ्ङळिलुं ऒन्निच्च् नटक्कुन्न इटपाटु तीर्क्कल्. काश्मीर् प्रश्नत्तिल् इन्त्या-पाक्क् अनुरञ्जनं आवश्यमाण्. 
93;कराऱ्, कराऱ्जोलि, उटम्पटि;कुऱच्च् पणत्तिनु पकरमायि आरुटॆयॆङ्किलुं एतॆङ्किलुं कार्यं पूर्त्तियाक्कुन्नतिनुळ्ळ चुमतल. अवनु ऱोड् उण्टाक्कानुळ्ळ कराऱ् लभिच्चु. 
94;व्यापारं, कच्चवटं, विल्पन, वाणिज्यं, विपणनं, वाणिभं, क्रयविक्रयं;विल्क्कटल्-वाङ्ङल् अल्लॆङ्किल् कॊटुक्कल्-वाङ्ङलिन्ऱॆ संसारं अल्लॆङ्किल् व्यवहारं. व्यापारं नटत्तियव ऒऴिच्च् ऒरु साधनवुं वाङ्ङान् इष्टप्पॆटुन्निल्ल. 
95;उत्तरवादित्वं, चुमतल, बाद्ध्यत, कटम;एतॆङ्किलुं कार्यं, विषयं अल्लॆङ्किल् प्रवर्त्ति मुतलायव नटप्पिलाक्कानुळ्ळ चुमतल. ई जोलि चॆय्यानुळ्ळ उत्तरवादित्वं आर्क्काण्? 
96;व्यापारं, व्यवसायं, कच्चवटं, विल्पन, वाणिज्यं, विपणनं, वाणिभं, क्रयविक्रयं;साधनङ्ङळ् उण्टाक्कुन्न अल्लॆङ्किल् वाङ्ङुन्नतुं विल्क्कुन्नतुं आय जोलि. रामन्ऱॆ कठिनपरिश्रमत्ताल् रापकलुळ्ळ अवन्ऱॆ व्यापारं पुरोगमिक्कुन्नु. 
97;प्रायोगिकज्ञानं, अनुभवज्ञानं, परिचयसम्पन्नत, परिज्ञानं;एतॆङ्किलुं कार्यं अल्लॆङ्किल् परीक्षणं चॆय्युम्पोळ् लभिक्कुन्न अऱिव्. अवन् ई जोलियिल् प्रायोगिकज्ञानं उण्ट्. 
98;ओर्म्म, स्मृति, स्मरण, विचारं, अनुस्मरणं, उपस्मरणं;ओर्म्मशक्ति मूलं स्वरूपिक्कुन्न अल्लॆङ्किल् लभिक्कुन्न अऱिव्. कुट्टिक्कालत्तिन्ऱॆ ओर्म्म् वरुम्पोळ् तन्नॆ मनस्स् सन्तोषपूरितमाकुन्नु. 
99;अऱिव्, ज्ञानं, बोधं, अमल्, विज्ञत, वृद्धि, वित्तं, विवरं, वेदं, अवबोधं, पाण्डित्यं, पाटवं;वस्तुक्कळॆयुं विषयङ्ङळॆयुं कुऱिच्चु मनस्सिल् अल्लॆङ्किल् बुद्धियिलुळ्ळ परिचयं. अवनु संस्कृतत्तॆक्कुऱिच्च् नल्ल अऱिवुण्ट्. 
