53;liQjeL PudoCtun, kNn hoxndun ;aroIb pAQgL UxToCp ; kriguMb TbC am tObd liQjeL PudoCtun tO;adverb
54;mAIKuM hAQdoCp ;kriguMb poxnciQbd KuMjiNb Pibu lOToCp ; hoM ministrn gANDigi mitMgi mAIKuM hAQdoCpgi TOrM pAQToCkni;noun
55;NULL;NULL;NULL;NULL
56;NULL;NULL;NULL;NULL
57;hOdoCpgi TOrM ;kriguMb acOb TOrM, miPMnciQbgi kANnb amsuQ mtiC heNgxnbgidmC knAguMb acOb misCn TOrM adugi  IhAN-hANb aoIn tOb TOaoQ ; tAIbz mhYkoL asigi hOdoCpgi TOrM asi rAstr pti IbuQqon tOgni;noun
58;NULL;NULL;NULL;NULL
59;liKuN Kzb, lzlA-lzjiL, lzlA lzjiL, lzlA-lzjiN, lzlA lzjiN, aroN-aTuF KzdoCp ;min Kzndb TbC nxtr g wAPM ambu KzhNbgi TbC ; netAji suBAs cNdr  bosn IKz-KzhOdn mAQKibgi liKuN qsi PAUb Kzb qMdr i;noun
60;maoQ mriL tAdr b, PibM cAdr b, acAIb, nAtY cAdr b ;mPM cAn lYtb ; sy AMn maoQ mriL tAdr b kA adubu maoQ tAn seMjiLli;adjective
61;kusi-rAsi tOb, kusi rAsi tOb, mniQ-mKA tOb, mniQ mKA tOb ;kriguMb am tObd aTiQb TMdb ; hitlr kusi-rAsi tOb lYqACp amni;adjective
62;aP-Pxt Kzdn mtO tMb ;cuMmi lALli Kzdn knAguMb miaOI nxtr g kriguMb amgi tuQ INbgi TOaoQ ; hOgxlClib nhAroLsiQ asi noQcuFloMgi sAjxpu aP-Pxt Kzdn mtO tMbgi hYnbi lY;noun
63;mox tiNnb, mox mANnb, wAKL mANnb, puCceL tiNnb, puCceL mANnb ;knAguMb amg wAKLloN amt aoIbgi PibM ; mox tiNnb aoIrbdi TbC tOmiNnb lAI;noun
64;TOjAL hYb, minuQsi cAUb ;migi awAbd mteQ pAQniQbgi wAKL ; TOjAL hYb hAIbsi puCceL cAUb nupAsiQgi lYteQni;noun
65;mpA cAnb, nAtY cAb ;kriguMb TbC am tOb mtMd TAjdn mAI pAClCp ; mpA cAnrubdgi mhACki puNsidu mhY yANb aoIre;noun
66;cuQsiNnb, puNsiNnb, amxt aoIb, yAnb ;cAnb amsuQ acuMb maoQd amt aoIhNb ; amg-amg cuQsiNnbn mrM aoIdun lubdgi lurb TbCsiQ pAQToCp qMmi;noun
67;hOdoCpgi TOrM ;kriguMb TbC-TOrMnciQb tObgi ahANb KoQTAQ ; leQsiNbirCU msigi anOb TbC asigi hOdoCpgi TOrM tOrsi;noun
68;Pi ToQdb ;Pi sextbgi maoQ-mtO ; hojiCkALgi mmi kuMmYsiQ asi Pi ToQdbn TLli;noun
69;NULL;NULL;NULL;NULL
70;NULL;NULL;NULL;NULL
71;myeC seQb ;kriguMb wAPM amgi mrMd hObdgin loIb PAUb Kzb ; cyexnb wAPMgi mrM myeC seQlb mtuQd aYKoIn mdugi wAroIsiN purCp qMgni;noun
72;aroNb, aTuFp, aroN-aTuF ;atoFpd KzhNdb ; msigi aroNb asi loxtun aduM TMmu;noun
73;guN ;kriguMb pox amd msAgi aoIb toF-toFp mtiC lYb ; sC Pjb hAIbsid Pjbgi guN yAUI;noun
74;aoNn-tYnb, aoNn tYnb, niyM  cuMdb ;acuMb maoQ aoIdb ; aoNn-tYnb hAIbsi kriguMb TbC am tOb mtMd arub aoIhLli;noun
75;aPb, aPb-wAKL, aPb-wAKN ;atoFpgi Pxtnb KNdb wAKL ; aPb hAIbsi miaoIbgi lYteQni;noun
76;I dAN tOb ;I pibgi TbC ; I dAN tOb hAIbsi puCceL cAUbgi TOaoQni;noun
77;apNb, KurO TAQb, KurO ceNb ;kriguMb TbC am tOb mtMd lACp KudoQcAdb ; TbC tOriqY mtMd apNbsiQ yAUhNdr bdi TbC KumAQ yAMn cAUsiNgni;noun
78;TuQnb, tiNnb, puNsiNb ;amg amg amt aoIbgi maoQ ; PMbAC kuMmY au hiro amsuQ hiroIN TuQnbn poloI aoIrMmi;noun
79;leQmANndb, ToQ-mANndb, mpA cAndb ;TAC mANnb aoIdbgi PibM ; leQmANndbn cAUKxpd apNb aoI;noun
80;mnAU nupA, mOpw A ;poCmiNnb mKA TAb nupA ; BAskr cAUbgi mnAUnupAni;noun
81;myAMb, mnAUnupA, mbuQ, mOpw A ;poCmiNnb mciN mnAU, mciN mnAU ToCp nupA ; sy AM mhACki KurAn poCp mnAU/ myAMbni;noun
82;myAMb, mbuQ ;poCmiNnb ITCToQb nupA ; sy AMgi myAMbdi aojAni;noun
83;mAITirb, mAI pACtb, qMdb, PeL aoIb, pAs tOdb ;cAQyeQd mpuQ PAn nxtr g cuMn tOb qMdb ; rohN cAQyeQd mAITihOrb misC aoIre;adjective
84;mAIpAClb, qMlb, pAs tOrb, pjeQ PirAL Texlb, mAITidr b ;cAQyeQ amd mpuQ PAn nxtr g cuMn tOb qMb ; cAQyeQd mAI pAClb misiQbu IkAI KuMnb Uxkni;adjective
85;kArCtb, lACtb ;mixmAQd Ub Pzdb ; qsi sy AM skuL kArCtb aqAQni;adjective
86;yAUb, kAb, lACp, yAUb ;nCn PMb, nCn Ub qMb ; qsi kl As yAUb mhYroI msiQ yAMde;adjective
87;NULL;NULL;NULL;NULL
88;cxlib , hOjiC aoIrib, hOjiCki aoIb ;hOKr b nxtr g lACkdOrib mtM nxtb ; cxlib mtMbu Pjn sijiNnO, mrMdi hOKr b mtM amuC hLlCte;adjective
89;resiao ;pox ani ahuMgi mrCt lYnb mrigi cAQdA ; lAIriC asigidmC cAd anigi resiaod lAIriC PoQbn aIbd seNdoQ KAIbi;noun
90;NULL;NULL;NULL;NULL
91;yAnb wAPM, yAnce Ib, cuCti ;kriguMb TbC am tOnbgidmCt kAQbu anigi mrCt leFnb wA ; mAIkY anigi mrCt amg-amggi TbCt Kux TiQjiNnroIsi hAIn yAnKib wAPM adu qACn cxnrMmi;noun
92;yAsiNnb, yAnb ;lOToC-lOsiN, piToC-pisiN, Kxn-cYnbnciQbgi mrMd mAIkY KudiQmCt amg-amg tAIsiNnb ; kAsmirgi mtAQd BArx pAkistAN yAsiNnbgi tqAIPdb lY;noun
93;TikA ;seLnciQb pidun knAguMb ambu kriguMb TbC am mpuQ PAn pAQToChNnbgidmC mqM lOb ; mhAC soroC seMnbgi TikA Pzle;noun
94;mNtiCnb, tAToC-tAsiN, tAToC tAsiN, yeQToC-yeQsiN ;yoNToC-yoNsiN, lYToC-lYsiN tOb mtMd mmL qAQnb maoQ ; mNtiCnb tOdn kriguMb pox amt lYb hOnde;noun
95;dAI, dAI tOb, mAIroQ ;kriguMb TbC, hirM nxtr g wAPMgi aP-Pxtgi mrMd TOdAQ lOb ; TbC asibu tOnbgi dAI knAn lOgni;noun
96;lLloN-ItiC, lLloN ItiC, kArbAr ;pox sAb nxtr g lYb amsuQ yoNbgi TbC ; rAMgi akNb hoxnjmNn mhACki lLloN-ItiC yAMn cAUKxle;noun
97;KuxloIbgi hYsiQb, aeks piriyens  ;kriguMb ambu IsAmCn TeQnrub, Urub nxtr g tOrub TbCtgi PzlCp lOsiQ ; mhAC TbC asid KuxloIbgi hYsiQb lYre;noun
98;niQsiQb, kAUdb ;kriguMb TOdoC-wAToCpu wAKLd leQdn lYb ; aqAQ aoIriqYgi mtM niQsiQlCpd puCniQ mTuM-mrAQ hOI;noun
99;lOsiQ, gy AN ;poxsiQ nxtr g kriguMb hirM amgi mrMd aP-Pxt KNTbgi pAQgL lYb ; mqoNd sns kr ixki lOsiQ Pjn lY;noun
100;KuxloIbgi hYsiQlb, aek spiriyens  lYrb ;TeQnrCpdgi Kzlb nxtr g mqoNd kriguMb TbC poxnciQbgi lOsiQ lYrb ; msigi TbC asigidmCt KuxloIbgi hYsiQlb mi tqAIPdb lY;adjective
101;hCTeQnrb ;kriguMb TbC-TOrM ambu msAn Kzlb, TeQnrb aoIb ; hOjiCki mtMd tr eNd rijArbesN Pzb hAIbsi kyAmuC yAMn wAI hAIbsi hCTeQnrb mitn Kzb qMgni;adjective
102;NULL;NULL;NULL;NULL
103;puCniQd PAUrCp, Kzb, gy AN ;aduguMb miaoIbgi nuQd PAUb awA-nuQqAIgi PibM ; kri-kriguMb mtMd tuQd ToCkdb TOdoCsiQgi mrMd puCniQd PAUrCp yAUI;noun
104;puCniQ-wAKL, puCniQ-wAKN, wAKL, wAKN, puCniQ, puCniQ-ITiL, puCniQ ITiL, IhuNpuCniQ-ITiN, puCniQ ITiN, puCniQ-IhuL, puCniQ IhuL, puCniQ-IhuN, puCniQ IhuN ;knAguMbgi nuQd hOrCp aniQb ; puCniQ-wAKLbu KuduM cNb hAIbsi arub amni/puCniQd wAKL maoL-maoL PAUrCI;noun
105;yATz, myATz ;kriguMb TbC am tOdr iqYgi mmAQd TbC adugi mrMd ITCToQbsiQg Unb, wAtANnb amsuQ mhACki ayAb lOb ; ITCToQbsiQgi yATz yAUdn kriguMb TbC amxt tOroIdbni;noun
106;ayAb ;kriguMb TbC am tOnbgidmC yATz Pzlb ; BArx srkArn msigi pr ojeC asibu pAQToCnbgi ayAb pire;noun
107;wAKLn sAb, wAKNn sAb, puCniQn sAb ;puCniQd asuMn aoIb yAI nxtr g aoIgni hAIn KNbgi TbC ; kri-kriguMb mtMd wAKNn sAb asisu lANb yAUI;noun
108;wAKL, wAKN, wAKLn sAgxp, wAKNn sAgxp ;aduguMb pAQgL nxtr g wAKL mdun puCniQd anOb, aqCp Udr ib, tAdr ibnciQb wAPMsiQgi msCpu sAgxli ; lAIsAb migi wAKLn nuQbu hCtun lAIgi maoQ-mtO seMgxli;noun
109;sOgxp, TOgxp, teQbAQb, ToQgxp ;knAguMbn tOb TbC nxtr g wAPMbu cuMmi KNdun yAniQb Uxp ; hOdorClib wAPM asi aYKoIn sOgxp pAMmi;noun
110;hrAUb, hrAUb PoQdoCp, wAh-wAh hAIb ;knAguMbgi wA nxtr g wAPMsiQd apeNb poCpd PoQdoCpgi TOaoQ ; aYgi wAPMd mhACn hrAUb adu tOsiNnbni;noun
111;aTiQb, apNb, mAIyoCt lYb ;kriguMb TbC am tOb mtMd mdubu leFnbgidmCt amsuQ akAIb pinbgidmCt mdugi aoNn-tYnbd TbC tOb ; rAMn aTiQb pirbsu aYhAC Box leFlMmi;noun
112;IsiQ amsuQ kzPAL animCt lYb qMb ;mAleMgi lYmAIgi sruC anid lYb qMb ; hqoI IsiQ amsuQ kzPAL animCt lYb qMb jibni;adjective
113;puCniQ luFnrib ;knAguMb nxtr g kriguMb amd wAKL suMhxniQqAI aoIb ; miyAMn puCniQ luFnrib tAIbzpALgi poxlMsiQn aYKoIbu mtM Krtgi aoIn nuQqAIhLli;adjective
114;acexp TAjb TMb ;knAguMb amgi mPMd puCniQ ani loQdn niQjb ; tulsidAs asi BgbAN rAMgi mPMd acexp TAjb TMb misC amni;adjective
115;sub noMb kNb, sub kNb, noMb kNb, hoxnb kNb ;mtM lYb KibiCt TbC tOdunt lYb ; aYgi ImA sub noMb kNbi nupini;adjective
116;NULL;NULL;NULL;NULL
117;acexp TAjb, niQjb ;lAIreMb-lAIreMbinciQbgi mPMd TMb ToIdoC heNdoCp nuQsib amdi noLluCpgi maoQ ; tAIbz mpugi mPMd acexp TAjb TMgdbni;noun
118;yAMn, amKC nxtn, amdz nxtb ;amdgi heNb ; BArxt loL msiQ yAMn qAQnY;adjective
119;mmAIgi mqAL, mmAIgi mqAN ;tAIbzmpu nxtr g mtiC mqAL lYb misiQgi mmAIgi nAkNd sNdoCp mqAL msi ayeCp lAI nxtr g mitMnciQbd Ub Pzqi ; acMb miaoIsiQgi mmAIgi mqAL mMbn mrM aoIdun Ub Pzde;noun
120;nuQsib ;puCniQgi aduguMb PibM msid yAMn PY hAIn KNdun mtM cuFpgi aoIn mnACt lYniQb poChLli ; nuQsibd msAgi aoIjb Tibgi mPM lYte;noun
121;nuQsib ;mKA TAb amdi leQmANnbsiQgi mPMd TmoId PAUrCp minuQsi ; cAcA nehrun aqAQsiQbu yAMn nuQsi;noun
122;sCmANnb, cF mANnb, msC mANnb ;maoQ mtO, msC KeNndb ; mhACn sCmANnb lAI ahuMgi MitM lYrMmi;adjective
123;mtuQ INn, yAkA tuQINn ;knAguMb amgi wAKLloN adubu yAb ; mhAC aYhACki mtuQ INn TbC tOb pAMde;adverb
124;NULL;NULL;NULL;NULL
125;hAIjb, nijb ;kriguMb am tOnbgidmC knAguMb amd noLluCp maoQd hAIbgi maoQ ; knAguMbgi hAIjbbu TaoIdb hAIbsi aPb wAPM nxte;noun
126;NULL;NULL;NULL;NULL
127;hAIjb, nijb ;knAguMb amd kriguMb am tObinbgidmC Izn tFn wA hzgxp ;  AcMpr Asin sutigidmC mkoCToQbd hAIjb tArMmi;noun
128;wAkx, pitisN ;aduguMb ciTi mdud knAguMbd kriguMb Kr yAnb hAIjb ; mhACki wAkx adu wAyeLszn KxtoClCle;noun
129;hNdoCp, aArT hNb, anubAd tOb ;loL amd IrMb nxtr g ciNn hAIribsiQbu atoFp loL amd IToCp amsuQ PoQdoCpgi TbC ; rAmAyNbu ayAMb loLsiQd hNdoCle;noun
130;hNdoClb Kux-I ;loL amdgi loL amd IToCpgi TbC ; msi rAstr ptigi Izlis lAIriCki hNdoClb KuxIni;noun
131;sNdoCn tACp, sNdoCn hAIb ;kriguMb arub wAhY preQsiQbu mcA KAIn KzhNb ; sns kr ixki sYreQsiQbu sNdoCn tACp hAIbsi mi puMnmCki arAIb TbC nxte;noun
132;pox aoNToC-aoNsiN tObgi kArbAr ;pox amg atoFp pox amg mhux siNdoC-siNjiN tOnbgi kArbAr ; rAM pox aoNToC-aoNsiN tObgi kArbAr tOI;noun
133;TbC hOb ;kriguMb TbC am ahANb aoIn tObgi mtM ; TbC hOb mtMd ceCsiNgdbni;noun
134;lAIniQ-lAIsoNgi TbC-TOrM, lAIniQ-lAIsoNgi TbC TOrM, lAIniQ lAIsoNgi TbC-TOrM, lAIniQ lAIsoNgi TbC TOrM ;tAIbz mpunciQbg mrilYnn aKNnb maoQgi TAjbgi amdi niQjbgi toF-toFp cxn pTAFk mri lYnb aduguMb TbC ; lAIpoCsiQdi lAIniQ-lAIsoNgi TbC-TOrMd puCniQ luFpi;noun
135;NULL;NULL;NULL;NULL
136;mY pujA tOb ;lAIbu peNnbgidmC mY hOdun Gi, ceQ, ToIdiQnciQb kxpgi TbC ; hnumANgi lAIszd mY pujA tOb hOre;noun
137;NULL;NULL;NULL;NULL
138;TijiNb, TijiN-huMjiNb, TijiN huMjiNb ;kriguMb lM amd mmux tAn Kznb hoxnbd mdug mri lYnb wAPMsiQ puToCpgi TOaoQ ; robox hAIbsi bigy ANn TijiNbgi KudoLni;noun
139;Tib ;kriguMb pox ambu Pznb nxtr g UnbgidmC  koIyeQ yeQbgi TbC ; kolMbsn amerikAbu Tibd mAI pAClMmi;noun
140;mitO tMb ;knAguMbgi KuxIg mANnn Ib ; msi mitO tMb KuxIni;adjective
141; KNTb, wAKL tOb, wAKL TAdb, wAKN tOb, wAKN TAdb, tiN yoxTb ;kriguMb hirM amd puCniQ luFsiNb ; TbC asid yAMn muNn KNTb czqi;noun
142;tuCkxcb, hzgoIb, nuQsidb ;aduguMb puCniQgi wAKL msid knAguMb ambu yAMn Pxtbni KNdun mqoNdgi TAFn lYniQbgi puCniQd ITiL pi ; knAbusu tuCkxcb tOroIdbni mrMdi aYKoI puMnmC Isw r amtgi mcAni;noun
143;kLlC-mihO PAUdb wAKL, kLlC mihO PAUdb wAKL, kLlC-mihO PAUdb wAKN, kLlC mihO PAUdb wAKN, kLlC-mihO lYtb wAKL, kLlC mihO lYtb wAKL, kLlC-mihO lYtb wAKN, kLlC-mihO lYtb wAKN ;tAIbzpALgi awA-nuQqAId puCniQ peLlCpdgi mdudgi lAFn lYbgi PibM ; tAIbzpALgi kLlC-mihO PAUdb wAKLn tAIbz mpubu niQjO ;noun
144;NULL;NULL;NULL;NULL
145;hNdoClb, hNdoClb aoIb ;loL amdgi loL amd IToCp aoIb ; msi mhAsw etA debigi hNdoClb KuxIni;adjective
146;msAgi aoIb Kux-I ;atoFp knAguMbdgi siNdoCp, lOb nxtv=b msAgi wAKLn puToCtun Ib aIb pox ; godAN pr eMcNdgi msAgi aoIb KuxIni;noun
147;pAU, I  -pAU, I  pAU, pAUjeL, pAUjeN ;kriguMb wAPM ambu hAIdun, Izgix tOdun nxtr g Idun tACp kriguMb mru aoIb wAPM ; myAMbgi luhoQbgi pAU Pzbd mhAC hrAUbgi qMKY lYrMde;noun
148;KoriloLgi Kux-I, sAhity gi Kux-I ;wAreQ-sYreQg mri lYnb TbC ; tuLsidAski rAM crix mAns mAleMd mmiQ cxlb KoriloLgi KuxIni;noun
149;seQdoCwA, seQdoCwAroL, seQdoCwAroN ;cnYnb wAPM ambu yAMn myeC seQn KznbgidmC mcA KAIn hAIbgi TbC ; aopojisNn lYqACpsiQd mKoIgi seN-TuMgi acuM-arANgi mrMd seQdoCwA pinb hAIrMmi;noun
150;TObAQ, BArb  ;loL nYnroLgi aduguMb wAhY mdun kriguMb TbC am tOb, aoIbgi mrMd tACp ; pArA asid TObAQd mixyeQ TMlMmi;noun
151;ahOb, ahANb ;kriguMb TbC, TOdoC-wAToCnciQbgi IhAN hANb tAQkC nxtr g sruC ; ahObd mpA cArbdi aroIbdsu aPb aoI;noun
152;liQjeL mANndb, liQjeN mANndb, wAKL mANndb, wAKN mANndb, puCceL-KoIjeL tiNndb, puCceL KoIjeL tiNndb, puCceN-KoIjeN tiNndb, puCceN KoIjeN tiNndb, puCceL-KoIjeN tiNndb, puCceL KoIjeN tiNndb, puCceN-KoIjeL tiNndb, puCceN KoIjeL tiNndb, nuQsindb ;amt aoIbgi wAKLloN lYtb ; liQjeN mANndb KuNnAIdi cAUKxp qMde;adjective
153;cAb yAdb pox ;hu ceNb nxtr g hCcAQ soCniQqAI aoIb cAn-TCnb poxlMsiQ ; mhACn cAb yAdb poxsiQbu Pxt-hOdi hAFPMd hAFciLle;noun
154;hYbo Q pAMbi, hYboQ ;hYrixkuMb acOb U pAMbi am msigi mhYdu TuMmi amsuQ cAb yAI ; aYKoIgi IzKoNd hYboQ pAMbi am hOI;noun
155;atoFp, anOb ;hANn lYribdu nxtb ; heNgxlClib misiQgi wAPMg loInn atoFp wAPMsiQsu ToClCle;adjective
156;lMlANb, mitoF, sCKzdb ;ImuQ-mnuQgi nxtr g KuNnAIgi mnuQgi aoIdb misC ; lMlANbbusu IkAI KuMngdbni;noun
157;NULL;NULL;NULL;NULL
