29;निपुण, दक्ष, सिद्धहस्त, पार्गत, प्रबीण, पाकैत, अभ्यस्त, बिचक्षण, पाৰङ्गत, पৰिपक्क, अभिज्ञ, पटु, पका, पक्क, कुशल, कार्यकुशल;कৰाৰ बाबे यिजन बिशेषभाৱे योग्य अर्जुन धनुबिद्यात निपुण आछिल 
30;योग्य, उपयुक्त, समर्थ, ् यथायोग्य, यथार्थ, ठिक, यथायथ, उचित, यथोचित, युगुत, समुचित, समीचीन, संगत;यि कৰिबৰ बाबे समर्थ कामटोৰ काৰणे एजन योग्य ब्यक्तिৰ आৱश्यक/ चाकৰिटोৰ बाबे उपयुक्त प्रार्थी निर्बाचित नहʼल 
31;भद्र, सभ्य, शिष्ट, मार्जित, ৰुचिबान, भब्य, पৰिशीलित, पৰिमार्जित;यिजने उन्नत आचाৰ-ब्यৱहाৰ अनुसৰण कৰे आৰु भाल मानुहৰ दৰे ब्यৱहाৰ कৰे भद्र मानुहे सन्मान पाय़ / ৰाम एजन सभ्य ब्यक्ति 
32;भाल, सॎ, उत्तम;यिजन भाल गुणৰ अधिकाৰी याৰ आदिৰ द्बाৰा आनৰ मङ्गल साधन पृथीৱीत भाल मानुह एतिय़ाओ कमि योৱा 
33;नৰखादक, मानुह खोৱा;यिय़े मानुह भक्षण कৰे यिय़े मानुहक निजৰ आहाৰ हिचापे ग्रहण कৰे चिकाৰीय़े नৰखादक बाघिनीजनीलै निचान टोৱाले 
34;NULL;NULLNULL 
35;अनाथ;यिजनৰ लालन-पालन कৰिबलै श्यामे गोटेइ जीৱनटो अनाथ शिशुৰ चोৱा-चिता कৰि पाৰ कৰि दिले 
36;असहाय़, आश्रय़हीन, निःसहाय़, अनाश्रित, निৰाश्रय़, अनाथ, सम्बलहीन;यिजनक सहाय़ कৰिबलै सुৰेन्द्रदेৱे असहाय़ लोकक सहाय़ कৰि 
37;पितृहीन, पितृहाৰा, पिताहाৰा, पितृबिहीन, बापेक नाइकिय़ा;यिजनৰ देउताक पितृहीन शिशु केतिय़ाबा कुपथे पৰिचालित 
38;अर्ह््ताहीन, अर्ह््ताशून्य;याৰ ओचৰत अर्ह््ताৰ अभाৱ अर्ह््ता चৰकाৰे अर्ह््ताहीन ब्यक्तिৰ काৰणे दक्षता योगोৱाৰ प्रय़ास चलाय़ 
39;NULL;NULLNULL 
40;शिय़ाली, माइकी शिय़ाल;शिय़ाल जातिৰ माइकी जंघलत एजनी शिय़ालीय़े निजৰ पोৱालिक गाखीৰ खुৱाइ आछिल 
41;ससहाय़, सहाय़क थका;याৰ सहाय़ कৰिबलै कोनोबा ससहाय़ लोके आनৰ सहाय़ कৰा 
42;मातृहाৰा, मातृहीन, माताहीन, माक नाइकिय़ा;याৰ माक महाजन सৰुतेइ मातृहाৰा हैछिल 
43;अर्ह््ता सम्पन्न, अर्ह््तापूर्ण, अर्ह््तायुक्त;याৰ ओचৰत अर्ह््ता अर्ह््ता सम्पन्न ब्यक्ति समाजৰ बिकाशৰ काৰणे सहाय़कस्बৰूप 
44;अपमान, तिৰस्काৰ, अनादৰ, अৱज्ञा, अৱमानना, असन्मान, अश्रद्धा, उपेक्षा, अৱहेला, अपदस्थ;यि कथा कामे काৰोबाৰ मान प्रतिष्ठा हानि कৰे काको अनाहकत अपमान कৰा नहय़ 
45;अशिष्टता, अभद्रता, अशालीनता;अशिष्ट होৱा अৱस्था अशिष्टताइ मानुहक जन्तुत पৰिणत कৰे 
46;सन्मान, मान, आदৰ, समादৰ, मर्यादा, इज्जत, सम्भ्रम, कदৰ;काৰोबाक उद्देश्यि कथा कओँते कৰोते तेओँ सन्तोषित सन्मानित होৱा अৱस्था माक-देउताकक सन्मान कৰिब लागे / स्थान हेৰाले मान हेৰाय़ 
47;भगৱान, ईश्बৰ, प्रभु, बिधाता, पৰमपिता, दय़ामय़, सृष्टि्कर्ता, पৰमब्रह्म, जगदीश, ्अन्तर्यामी, भुৱनेश्बৰ, कৰुणामय़, नेदेखाजना, ओपৰৰजना, जगजीৱ, मंगलमय़, ्सर्बमङ्गलमय़, ्सनातन, बिभु, धाता, बिधातापुৰुष, जगदीश्बৰ, जगॎपिता, जगॎपति, ्जगॎकर्ता, जगतस्रष्टा, जगजीउ, पৰमेश्बৰ, पৰाॎपৰ, इच्छामय़, पৰमात्मा, त्रिजगतपति, त्रिलोकपति, पৰमानन्द, निय़न्ता, चिन्तामणि, भबेश, निৰाकाৰ;धर्म ् ग्रन्थৰ द्बाৰा स्बीकृत सर्ब्बोच्च सत्ता, यि सृष्टिৰ गৰाकी भगৱान सकलोते / ईश्बৰ सर्बमंगलमय़ 
48;नामहीन, बेनाम, नामबिहीन;नाम बिहीन याৰ नाम नाथाके ৰामुৱे अनाथ आश्रमৰ पৰा नामहीन शिशुक तुलि लʼले 
49;NULL;NULLNULL 
50;नामৰ, नामधाৰी;नामৰ नामयुक्त प्राचीन कालत अयोध्यात ৰघु नामৰ ৰजाइ ৰाजत्ब कৰिछिल 
51;हठाॎ, तॎक्षणाॎ, अकस्मात, घपहकै, चेৰेंकৰे, अतर्किते, खपकৰे, आचम्बिते, खचकै, भुटुंकৰे;आगेय़े नजनाकै! घৰৰ पৰा ओलाओँतेइ हठाॎ एजाक बৰषुण आहिल / तॎक्षणात बानपानीय़े गाँओखन बुৰाइ पेलाले 
52;आलासते, अनाय़ासे, अप्रय़ासे, बिना पৰिश्रमे;एको प्रय़ास नकৰाकै आलासते नहय़ 
53;यत्नसहकाৰे, यत्नपूर्बक;यत्नৰ सैते यिकोनो यत्नसहकाৰे कৰा 
54;उन्मोचन, उन्मुक्तकৰण, प्रकटकৰण;बस्तु, कथा आदिৰ पৰा आৱৰण आँतৰोৱा कार्य गृहमन्त्रीय़े गान्धीजीৰ प्रतिमूर्तिटो उन्मोचन कৰिले 
55;NULL;NULLNULL 
56;NULL;NULLNULL 
57;उद्घाटन, उद्बोधन;डाङৰ समाৰोह, सन्मिलन आदिৰ महत्त्ब आৰु गौৰৱ बृद्धि कৰिबलै बिख्यात ब्यक्तिৰ द्बाৰा कार्यৰ ् शुभाৰम्भ कৰा बिश्बबिद्यालय़खनৰ उद्घाटन ৰाष्ट्रपति महोदय़े कৰिब 
58;NULL;NULLNULL 
59;ৰहस्योद्घाटन, ৰहस्य उद्घाटन, ৰहस्यभेद;ৰहस्यৰ उद्घाटन कৰा कार्य नेताजी सुभाष चन्द्र बसुৱे हठाॎ मृत्युक साबटि लोৱाৰ ৰहस्योद्घाटन आजिओ नहʼल 
60;अब्यৱस्थित, ब्यৱस्थाहीन;यिटोৰ ब्यৱस्था कৰा होৱा श्यामे अब्यৱस्थित कोठाटो थिक-थाक कৰि 
61;स्बेच्छाचाৰी, लेकाम नाइकिय़ा, निৰङ्कुश, बाधाहीन, स्बेच्छाकृत, कुण्ठाৰहित;याৰ निय़न्त्रण बाधा हिटलाৰ एजन स्बेच्छाचाৰी शासक आछिल 
62;अन्ध-अनुकৰण;नभबा निचिन्ताकै कथा ब्यक्तिक कৰा अनुकৰण आजिৰ युৱ-प्रजन्मइ पाश्चात्य सभ्यताৰ अन्ध-अनुकৰण कৰिबलै लैछे 
63;अनुकूलता;अनुकूल होৱा अৱस्था भाब अनुकूलतात कৰिबलै सहज 
64;दय़ाशीलता, सहृदय़ता, दय़ालुता, कृपालुता;दय़ालु होৱा अৱस्था भाब दय़ाशीलता सॎ पुৰुषৰ अलंकाৰ 
65;स्थिৰता;अटल स्थिৰ होৱा अৱस्था पৰिस्थितिৰ स्थिৰताৰ बाबे तेओँ जीৱनत सफल गै थाकिल 
66;मिल, समता, एकता, सामञ्जस्य, अभिन्नता, अभेद, ऐक्य, अद्बितीय़त्ब, अपार्थक्य, अबिच्छिन्नता, अभेद, अभिन्नत्ब, अपृथकता, समभाब, समानय़न, सायुज्य, अनुৰूपता, समৰूपत्ब, एकৰूपता, तुल्यता, सदृशता;उपयुक्त आৰु सठिकभाৱे कৰा संयोग पৰस्पৰৰ मिलৰ द्बाৰा कठिनৰो कठिन सम्भৱ 
67;आৰम्भ, आৰम्भण, शुभाৰम्भ, शुभाৰम्भण, आৰम्भणि, सूचना, समाৰम्भ, प्राৰम्भ, शुৰु, छৰु, सूत्रपात, उपक्रम;काम, कथा आदिৰ आৰम्भणी होৱा कৰा कार्य आहक कामटोৰ आৰम्भ कৰोँ 
68;नग्नता, उलङ्गता, उलंगता, नग्नत्ब;नग्न होৱा अৱस्था आजिकालिৰ चिनेमाबोৰ नग्नताৰे भৰि 
69;NULL;NULLNULL 
70;NULL;NULLNULL 
71;स्पष्टता;होৱा अৱस्था भाब समस्याৰ काৰणबोৰৰ स्पष्टताৰ पिछतहे इय़ाৰ समाधान कৰिब पाৰिम 
72;गोपनीय़ता, गोपनता, प्रच्छन्नता;गोपनीय़ कৰा अৱस्था भाब ৰहस्यटोৰ गोपनीय़ता बर्ताइ ৰाखा 
73;भाৱ;यʼत होৱाৰ क्रिय़ा निहित सुन्दৰतात सुन्दৰ होৱाৰ भाৱ 
74;प्रतिकूलता, बिपक्षता, प्रतिपक्षता, प्रतिकूलाचৰण;प्रतिकूल होৱा अৱस्था भाब प्रतिकूलताइ यिकोनो कामके जटिल कৰि तोले 
75;सद् गुण, भाल गुण, सॎगुण, सजगुण;भाल स्बभाৱबिशिष्ट नैतिकतापूर्ण सद्-गुण मानुहৰ भूषणस्बৰूप 
76;ৰक्तदान, ৰक्त दान, तेजदान, तेज दान;तेज दिय़ा कार्य श्यामे हस्पितेललै गै ৰक्तदान कৰिले 
77;बिसंगति, असंगति, बिसङ्गति, असङ्गति, बिषमता, बिषमत्ब, बैषम्य;असंगति होৱा अৱस्था भाब कामटोৰ पৰिणतित उद्भৱ होৱा बिसंगतिबोৰ दूৰ कৰि कामৰ गति बढ़ाब पৰा याब 
78;मिलन, समन्बय़, मिला-प्रीति, संयोग;मिल होৱा कार्य ् भाब नाटकৰ पৰिसमाप्तित नाय़क आৰु नाय़िकाৰ मिलन हʼल 
79;असामञ्जस्यता, सामञ्जस्यहीनता;सामञ्जस्यৰ अभाৱ असामञ्जस्यताइ उन्नतित बाधा प्रदान कৰे 
80;भाइटि, सৰु भाइटि, सৰु भाइ, अनुज;बय़सৰ हिचापेৰे यिजन सৰु भाय़ेक भास्कৰ मोৰ सৰु भाइटि 
81;भाइ, भ्राता;माक-देउताकৰ पৰा जन्म होৱा बंशৰ पुৰुषৰ ब्यक्तिৰ काৰणे माक पितृकूलৰ पुৰुषৰ आन ब्यक्ति -- याक धर्म, ् समाज, आइन आदिৰ आधाৰत भाय़ेकৰ मर्यादा दिय़ा श्याम मोৰ खुৰाৰ भाइ 
82;ककाइ, ककाइदेउ, दादा, अग्रज;यिजन भाय़ेके प्रथमे जन्म लैछे श्यामৰ ककाय़ेक अध्यापक 
83;फेइल, अनुत्ती्र्ण, अकृतकार्य, असफल;यिजन पৰीक्षात उत्ती्र्ण ्होৱा ৰोहने पৰीक्षात फेइल कৰिले/ ৰोहन पৰीक्षात अनुत्ती्र्ण हʼल 
84;उत्ती्र्ण, ्पाछ;यिजन पৰीक्षात सफल हैछे उत्ती्र्ण पৰीक्षार्थीसकलक पुৰस्कृत कৰा हʼब 
85;अनुपस्थित, गৰहाजिৰ;यिजन सन्मुखत उपस्थित हाजिৰ होৱा आजि श्याम श्रेणीत अनुपस्थित आछिल 
86;उपस्थित, हाजिৰ, मजुत, मजुद, बिद्यमान;सन्मुख ओचৰत आहि थका आजि श्रेणीत दहजन छात्र उपस्थित आछिल / कोठाৰ सकलो बस्तु निज निज ठाइत मजुत आछिल 
87;NULL;NULLNULL 
88;बर्त््मान, आजि, अद्य;यिटो समय़त हैछे चलि बर्त््मान समय़ৰ ब्यৱहाৰ कৰा, किय़नो पाৰ योৱा समय़ केतिय़ाओ उलटि नाहे 
89;अनुपात;एबिध बस्तुৰ लगत आन एबिध बस्तुৰ मान, माप, उपयोगिता आदिৰ सम्बन्धৰ सैते कৰा तुलना लेखके कितापखनৰ काৰणे शतांश अनुपातत ৰय़ेल्टी लाभ कৰिछे 
90;काजलसना;(चकु) यʼत काजल लगोৱा तेओँৰ ्काजलसना चकुৱे सकलोके सन्मोहित कৰिछिल 
91;बुजाबुजि;कৰाৰ काৰणे दुय़ोपक्षৰ माजत होৱा निष्पत्ति पৰस्पৰे बिषय़त हस्तक्षेप नकৰे बुलि दुय़ोपक्षৰ माजत बुजाबुजि हʼल 
92;सन्धि, सन्धिचुक्ति;लेन-देन, ब्यৱहाৰ, काजिय़ा ् सम्पर्कत ् सकलो पक्षৰ पৰस्पৰৰ माजत होৱा निष्पत्ति काश्मीৰৰ समस्या सन्दर्भत ् भाৰत-पाकिस्तानৰ माजत सन्धि होৱा आৱश्यक 
93;ठिका;धन आदिৰ बिनिमय़त काৰोबाৰ सम्पूर्ण कৰिबलै लोৱा दाय़ित्ब तेओँ ् पथ बनोৱाৰ काৰणे ठिका पाइछे 
94;दৰ-दाम, चुक्ति;किना-बेचा लेन-देनৰ कथा-बतৰा ब्यৱहाৰ दৰ-दाम नकৰाकै बस्तु किना नहय़ 
95;दाय़ित्ब, दाय़ित्बभाৰ, गाৰेन्टी, उत्तৰ-दाय़ित्ब;काम,कथा बिषय़ৰ बाबे लोৱा कर्तब्यभाৰ कामटो कৰाৰ दाय़ित्ब कोने लʼब? 
96;बेपाৰ, बणिज, ब्यৱसाय़, बाणिज्य;बस्तु किना-बेचा कৰा बनोৱा कार्य ৰामৰ कठोৰ पৰिश्रमৰ काৰणे बेपाৰत दिनकदिने उन्नति लाभ कৰिछे 
97;उपल््ब्धि, अनुभৱ;कৰा बस्तु ब्यৱहाৰ कৰाৰ पৰा लाभ होৱा ज्ञान तेओँ ् कामटो उपल््ब्धि कৰिब पाৰे 
98;स्मृति, स्मৰण, खिय़ाल;स्मৰणशक्तिৰ द्बाৰा एकत्र लाभ होৱा ज्ञान सৰुकालৰ स्मृति अहाৰ लगे मन आनन्दत भৰि पৰे 
99;ज्ञान, प्रज्ञा, बोध, बोधि, प्रतीति, सम्बोधि, ब्युॎपत्ति, अनुभाब, प्रमा, पৰिज्ञान, महाज्ञान;मन बिबेके लाभ कৰा बस्तु बिषय़ৰ खबৰ तेओँৰ संस्कृतৰ भाल ज्ञान 
100;अनुभबी, पৰिपक्क;अनुभৱ कৰिब पৰा यिय़े काम, बस्तु आदिৰ अनुभৱ कৰिब पाৰे कामटोৰ काৰणे एजन अनुभबी ब्यक्तिৰ प्रय़ोजन 
101;भुक्तभोगी;यिजने भोग कৰिछे भोगी थकाजन आजिकालि ৰेलत आसन संৰक्षण कৰा किमान जटिल सेइय़ा भुक्तभोगी लोकेहे बुजिब पाৰे 
102;NULL;NULLNULL 
103;अनुभब, अनुभৱ, अनुभूति, संबेदन;सुख-दुख अनुभब कৰिब पৰा एने मानसिक बृत्ति याৰ बाह्यिक प्रतिक्रिय़ा नाथाके केतिय़ाबा भৱिष्यतत घटिबलगीय़ा घटनाৰो अनुभब / अशुद्ध शৰीৰ अनुभूति शून्य 
104;मनोभाब, भाब, मानसिक भाब, मनोभाबना;मनत उदय़ होৱा भाब बिचाৰ मनोभाबৰ ओपৰत निय़न्त्रण ৰखाटो कठिन/ मनलै धৰणৰ भाब 
105;अनुमति, आज्ञा, अनुज्ञा, आदेश;कৰाৰ आगते सम्पर्के ्आज्ञाৰ ৰूपत ज्येष्ठजनৰ पৰा लोৱा स्बीकृति डाङৰৰ अनुमति अबिहने कৰा नहय़ 
106;अनुमति, मञ्जुৰि;स्बीकाৰ कৰाৰ कार्य ् भाब भाৰत चৰकाৰे योजनाटो आৰम्भ कৰाৰ काৰणे अनुमति प्रदान कৰिछे 
107;अनुमान, आन्ताज;एनेकुৱा हʼब पाৰे बुलि निजৰ मनৰ माजते बोधजन्मा भाब केतिय़ाबा केतिय़ाबा अनुमान भुलो हʼब पाৰे 
108;कल्पना;नेदेखा-नुशुना बस्तुৰ स्बৰूप उपल््ब्धि कৰिब पৰा मनৰ प्रकाৰ भाब शक्ति खनिकৰे कल्पनाৰे शिलत खोदाइ कৰि मूर्तৰूप ् प्रदान कৰे 
109;अनुमोदन, समर्थन;कोनोबाइ कৰा कामৰ सन्मुखत ৰै दिय़ा पৰामर्शक सठिक बुलि मानि लै दिय़ा स्बीकृति प्रस्ताৱटोत अनुमोदन जनाइछोँ 
110;प्रशंसा;कथा, पৰामर्श आदित प्रसन्नता उपल््ब्धि कৰि प्रकाश कৰा भाब मोৰ सन्दर्भत तेओँ आनक देखुৱाबलैहे प्रशंसा कৰिछे 
111;बिৰोधिता, बिৰोध, बिৰोधाचৰण, प्रतिৰोध;कार्य आदिक ৰुधिबৰ काৰणे ताৰ बिपৰीते कৰा कार्य मइ ৰामৰ बिৰोधिता स्बत्त्बेओ नि्र्बाचनत प्रतिद्बन्द्बिता कৰिलोँ 
112;उभचৰ;यि जल आৰु स्थल दुय़ो ठाइते थाकिब पाৰे भेकुली एबिध उभचৰ प्राणी 
113;आसक्त, मुग्ध, मोहित, मोहाबिष्ट, ৰक्त;यि किहबाৰ अत्यधिक अनुৰक्त संसाৰৰ बस्तुबोৰे मानुहৰ मनक आसक्त कৰि क्षणिकৰ बाबेहे सुख प्रदान कৰे 
114;निष्ठाबान;काৰोबाৰ निष्ठा, श्रद्धा भक्ति ৰाखोता तुलसीदास भगৱान ৰामৰ निष्ठाबान आछिल 
115;उद्योगी, उद्यमी, काजी;कामत उद्यम लै लागि थका मोৰ मा एगৰाकी उद्योगी महिला 
116;NULL;NULLNULL 
117;भक्ति;देৱ-देৱी भगৱानत थका प्रेम ईश्बৰৰ भक्ति थाकिब लागे 
118;अनेक, एकाधिक, बिबिध, नाना, नानान;एकतकै भाৰतत भाषा कोৱा 
119;दिब्यज्योति चक्र, देहज्योति चक्र;चित्र मूर्ति आदित देखुओৱा देৱता दिब्यपुৰुष आदिৰ मुखৰ चाৰिओफाले थका आभायुक्त मण्डल साधाৰण मानुहৰ दिब्यज्योति चक्रৰ दिप्ती क्षीण होৱाৰ बाबे पोৱा नायाय़ 
120;प्रेम, प्रीति, भालपोৱा, पीৰिति, अनुৰाग, आसक्ति, महब्बत;काৰोबाक खुउब भाल पाइ सदाय़ तेओँৰ् लगत थाकिबलै प्रेৰणा दिय़ा मनोबृत्ति प्रेम निस्बार्थ ् हʼब लागे 
121;मৰम, चेनेह, स्नेह, मৰम-चेनेह, ममता;सৰुजनৰ हृदय़त उथलि उठा भालपोৱा जৱाहৰलाल नेहৰुৱे सৰु लʼৰा-छोৱालीक मৰम कৰिछिल 
122;समৰूपी, प्रतिৰूपी, अनुৰूपी;यि ৰूप आकाৰत याৰ प्रतिৰूप तेओँ तिनिटा समৰूपी मूर्ति किनिले 
123;मते, अनुसৰि, मतानुसৰि;काৰोबाৰ मतामत दृष्टिभङ्गीৰे तेओँ ्मोৰ मते कৰिब निबिचाৰे 
124;NULL;NULLNULL 
125;अनुৰोध;कथा कामत सन्मति आदाय़ৰ काৰणे सन्मान सहकाৰे जनोৱा कार्य काৰोबाৰ अनुৰोधक नेओचा दिय़ाटो भाल कथा नहय़ 
126;NULL;NULLNULL 
127;प्रार्थ््ना, मिनति, अनुৰोध;काৰोबाৰ पৰा किबा कৰिबৰ काৰणे नम्रता सहकाৰे कৰा निबेदन चकिदाৰजने छुटी मञ्जुৰिৰ काৰणे बिषय़ाजनৰ ओचৰत प्रार्थ््ना जनाले 
128;आबेदन, दर्खास्त, आर्जी, आबेदन पत्र;काৰोबाৰ पৰा किबा बस्तु बिचाৰि दिय़ा पत्र तेओँৰ आबेदन पत्र न्याय़ालय़े नाकच कৰिले 
129;अनुबाद, भाषान्तৰ, तर्जम्ा, भाषान्तৰण;भाषाৰ लिखित ৰूप कोৱा कथा आन भाषात लिखा कोৱा कार्य ৰामाय़ण भाषालै अनुबाद हैछे / भाषान्तৰे एकोटा भाषाৰ साहित्यৰ भँ्ৰाल चहकी कৰि तोले 
130;अनुदित, अनुदित कृति, भाषान्तৰित कृति, अनुबादित ्कर्म;अनुबाद कৰा कार्य एइखन ৰाष्ट्रपतिৰ इंৰाजी कितापৰ अनुदित ৰूप 
131;ब्याख्या, आख्या, भाब बिस्ताৰ;जटिल बाक्य आदिৰ ् अर्थৰ स्पष्टीकৰण संस्कृत श्लोकৰ बाख्या कৰाटो सकलोৰे बाबे सम्भৱ नहय़ 
132;बिनिमय़ प्रथा;बस्तुৰ लेन-देन कৰा एबिध बेपाৰ यʼत एबिध बस्तुৰ सलनि आन एबिध बस्तु दिय़ा ৰामे बिनिमय़ प्रथाৰ बेपाৰ कৰे 
133;काम आৰम्भ, कार्य आৰम्भ, ्कार्याৰम्भ;कार्यৰ आৰम्भ ् होৱा कार्य मोৰ ककादेउताइ यि कामेइ आৰम्भ कৰे, सेइटो सम्पूर्ण कৰिहे उशाह लय़ 
134;धर्म-्कार्य, धर्म-कर्म, ्धार्मिक कृत्य, धर्म ्काज;धर्मৰ लगत सम्पर्क ् थका कर्म महान लोकसकल धर्म-्कार्यत मजि 
135;NULL;NULLNULL 
136;यज्ञानुष्ठान, यज्ञ कर्म;यज्ञ कৰा कार्य हनुमान मन्दिৰत यज्ञानुष्ठान आৰम्भ हʼल 
137;NULL;NULLNULL 
138;गৱेषणा, अनुसन्धान, अन्बेषण, एषणा;बिषय़ৰ भालदৰे अनुशीलन कৰि सम्पर्के कथा तथ्यৰ बिचाৰ कৰा कार्य ৰबट बैज्ञानिकৰ गৱेषणाৰ फल 
139;आৱिष्काৰ, सन्धान, खोज;बस्तु कʼत केनेकै सेइय़ा चाबৰ काৰणे पाबलै बिचाৰ कৰा कार्य कलम्बाछे आमेৰिकाৰ आৱिष्काৰ कৰिछिल 
140;अनुकृत, अमौलिक;किहबाৰ अनुकৰण कৰि तैय़ाৰ कৰा एइटो अनुकृत ৰचना 
141;चिन्ता, चिन्तन-मनन, मनन, चिन्तन;बिचाৰ कৰा कार्य ्बा भाब चिन्ता कৰाৰ पिचत समस्याटोৰ समाधान बिचाৰि उलिय़ालोँ 
